"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Bacteria (superkingdom)",0.5809043679,1.26855668055,224,2,65.38,0.01,8.34,1.055388525745,1.0805447882,1.287147810225,1.37271958156,1.8621784466525,1,1,9.19216655801613,2
"FCB group",3.05816620385,3.08626202875,83,2,47.67,0.01,5.81,1.2719259152125,1.384585277675,2.44411019675,3.08626202875,3.08626202875,1,1,6.94670418831377,2
"Proteobacteria (superphylum)",3.10341430265,3.10341430265,56,2,34.62,0.02,4.33,0.90926616149,1.1714390629,3.06083542695,3.148869050415,3.36471549985,0.94,0.93,4.66208398451399,0
"Terrabacteria",3.031290247,3.031290247,64,2,41.22,0.01,5.82,1.366475032505,1.374261006565,2.89972492665,3.1706067505,3.1841067505,0.95,0.98,5.49330377837311,2
"DTB120",3.2472756899,2.2980987026,106,1,39.26,0.02,3.29,1.3652429206975,1.5114605776,2.2490959563,2.528112194795,2.55706695847,0.98,1,4.35308168599493,1
"PAUC34f",0.50353385445,1.40463062855,214,1,61.15,0.01,6.26,0.747220531645,0.92274586416,1.3667853747,1.457735137105,1.6434504260975,1,1,6.34956242635824,1
"SBR1093",1.0258089991,1.02852306895,148,1,51.96,0.02,4.06,1.0246094938,1.0246094938,1.39749534845,2.057279697305,3.0213389635275,0.93,1,4.96655985070779,0
"WS2",3.5063946883,2.58199075925,175,2,67.52,0.01,7.41,1.356089718435,1.3800321257,2.57746824325,2.961412616925,3.0321452525475,1,1,7.93260769426537,2
"AC1",3.5063946883,2.62082543465,121,2,49.63,0.01,4.44,0.757689672975,0.862414454585,2.41639783605,3.13670309855,3.1956915837475,0.96,0.89,5.61205231976012,0
"FCPU426",0.5425,0.93755601405,188,2,65.85,0.01,6.35,0.85341842644,0.950872419215,1.048391512625,1.372783324745,1.826686364585,1,1,7.17442511185188,2
"TACK",0.5809043679,0.64322360265,148,2,55.38,0.07,1.75,0.548,0.5809043679,1.275720071875,1.85474225962,2.841443615585,0.75,0.83,3.08471672337968,0
"Marine Hydrothermal Vent Group(MHVG)",3.5063946883,3.1475,134,2,68.29,0.01,5.79,1.3487399872225,1.40739920458,2.443838398575,3.144,3.1511351549275,0.99,1,6.92627769655532,2
