"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Bacteria (superkingdom)",477.5,61.5,216,1,63.23,0.01,7.84,-31,-27,72.5,323.2,334.5,1,1,8.65466475645744,1
"FCB group",-147,-106.5,76,1,59.4,0.01,8.69,-144.525,-144,-107,201.3,274.375,1,1,9.19230978637597,1
"Proteobacteria (superphylum)",-123,-123,51,1,35.63,0.01,4.27,-129,-129,-122.25,343.65,377.5,0.61,0.98,5.28690603798206,0
"Terrabacteria",-132,17.5,59,1,30.25,0.01,5.31,-134.15,-132,-26.25,63.55,203,1,1,7.01950028924078,1
"DTB120",473.5,460.5,104,2,69.8,0.01,4.67,-122.5,-94.05,384.5,471,473.5,0.95,0.91,5.30763559089925,0
"PAUC34f",-174,255.5,206,2,65.48,0.01,7.23,131.975,134.8,220.925,282.1,298.05,0.99,1,7.8945905510091,2
"SBR1093",495.5,448,143,2,65.5,0.01,3.67,-130,-127,269.25,477.65,495.5,0.77,0.95,4.55524772879335,0
"WS2",-174,-1,167,1,62.46,0.01,8.57,-18.175,-12.55,287.5,330.6,334.575,1,1,9.86555269371356,1
"AC1",-174,264,114,1,54.57,0.01,7.03,-144.525,-132.2,233.5,296.6,299.7,1,1,7.60157109324561,1
"FCPU426",-174,124,180,1,58.51,0.01,8.12,59.05,64.9,183.5,296,305.8,1,1,9.05525261691776,1
"TACK",495.5,330,142,1,50.45,0.02,2.59,-146.5,-144.5,246.25,334.65,394.55,0.91,0.92,3.46769104364023,0
"Marine Hydrothermal Vent Group(MHVG)",-147,-122,128,1,62.56,0.01,5.66,-137.6,-130,-36,307.45,327,1,1,6.27343701236106,1
"Bacteroidetes",473.5,220,217,1,69.65,0.01,9.66,131.45,170.3,234.75,296,299.025,1,1,10.2587908305141,1
"Marinimicrobia (SAR406 clade)",473.5,160.5,194,1,74.22,0.01,14.22,49.375,63.75,124,296.2,305.3,1,1,13.1850268033475,1
"Caldithrix phylum incertae sedis",-174,-94,210,1,61.01,0.01,3.29,-174,-164.55,-92.5,220.4,374.1,0.79,0.94,4.06369760467334,0
"Ca. Latescibacteria (WS3)",-174,-67.5,217,1,61.24,0.01,5.95,-151.1,-151,-51.75,-27,-5.475,1,1,6.42967145428597,1
"Cloacimonetes",282.5,85,168,1,72.84,0.01,12.59,38.95,51.2,171,287.55,299,1,1,12.9812056824467,1
"Ca. Zixibacteria (RBG-1)",-174,-106.5,217,1,67.38,0.01,4.78,-117.725,-112,14,333.3,339.525,1,1,5.19367256075151,1
"LCP-89",-174,36.5,173,1,68.35,0.01,10.06,28.275,37.95,235.5,314,322.25,1,1,11.0905083654428,1
"Proteobacteria",-127,-94,217,2,65.05,0.01,5.89,-124.15,-122.55,-37.5,228.55,273.95,1,1,6.88979366386006,2
"Chloroflexi",334.5,294.5,204,1,86.82,0.01,7.95,149.775,161,191,298.25,311.75,1,1,8.56092742887435,1
"WS1",-174,305.5,159,1,70.43,0.01,9.35,27.9,34.75,282.5,326.3,338,1,1,9.95332895019217,1
