"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Bacteria (superkingdom)",0.844926965,1.8933774347,224,2,62.5,0.01,6.35,1.6474710640975,1.721302204365,1.87840717265,3.34362788529,3.34831158645,0.76,1,6.7231934878229,0
"FCB group",1.7363670934,1.7363670934,83,2,35.23,0.01,3.73,1.5352360589725,1.67926557217,2.006897620075,3.15273587403,3.2244361159125,0.89,0.96,4.34920207466421,0
"Proteobacteria (superphylum)",4.21968431085,2.1982383837,56,1,18,0.14,1.23,1.637216670325,1.9024582369,2.948582352075,3.40301494831,3.8878221062575,0.44,0.81,3.37940912314669,0
"Terrabacteria",3.9119603115,2.5015739413,64,2,23,0.05,2.03,2.007287176795,2.316822449135,3.071709126875,3.77379303758,3.8674973957,0.76,0.72,2.91459331476087,0
"DTB120",0.844926965,3.0778653647,106,2,40.08,0.01,3.56,0.76441533715,0.7905494243,2.924157971275,3.17328139258,3.19879526535,0.59,0.97,4.88844869210348,0
"PAUC34f",0.95795983365,2.70366811745,214,1,71.53,0.01,12.39,2.1930135842925,2.316653127165,2.702914747425,3.013648498735,3.05721159385,1,1,13.0488100986354,1
"SBR1093",4.4265367359,2.21610150015,148,1,53.05,0.01,6.5,2.0947864399,2.163994230985,2.3811662152,2.589218569105,2.61841488173,1,1,7.44990888679104,1
"WS2",1.0200885168,1.94481225385,175,2,66.01,0.01,8.76,1.5886040745375,1.64364353285,1.9094587966,1.975176840885,1.9883545882125,1,1,8.81571769953434,2
"AC1",0.85529275935,2.0375875275,121,2,50.96,0.01,6.54,1.6453966669475,1.722783396775,2.185994498275,2.34149526429,2.3546598799125,1,1,6.80830233569287,2
"FCPU426",0.844926965,1.7930902576,188,2,67.7,0.01,9.58,1.2665789471775,1.33377707963,1.81092459835,1.977087864085,2.038130314175,0.98,1,10.1016776396407,2
"TACK",0.844926965,0.844926965,148,2,67.27,0.04,2.28,0.844926965,0.844926965,1.73138823575,3.0309997573,3.396014435525,0.65,0.87,3.11736176629017,0
"Marine Hydrothermal Vent Group(MHVG)",0.844926965,1.95942493725,134,2,45.7,0.01,3.39,1.23063737703,1.72868658465,2.0976869819,3.88330390085,3.893129771,0.95,0.98,3.93952250336378,2
"Bacteroidetes",4.4265367359,1.40668723495,225,2,72.53,0.01,7.17,1.23381154931,1.263432204345,1.4743767088,2.24894256464,3.67305760365,0.94,1,8.52185650239251,0
