"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Bacteria (superkingdom)",4.3062383322962,0,224,2,67.32,0.01,9.58,0.00673615432482887,0.0447154471544715,0.34771970697305,0.933387719378127,0.957444374459301,1,1,10.1626303608358,2
"FCB group",5,3.8949283748438,83,2,52.19,0.01,8.24,1.01503802596364,2.46773490976976,3.22755453149584,4.79110271183997,4.88514989837398,1,1,8.78625826502403,2
"Proteobacteria (superphylum)",4.33491021243442,4.38112807407632,56,2,29.86,0.02,3.22,0,0,2.57306069482599,4.41252684520467,4.76723398900137,0.8,0.96,4.91075960142966,0
"Terrabacteria",4.58269745928635,3.29202681611446,64,2,41.4,0.01,6.66,0.50089547255149,3.17259444516116,4.4032793204021,4.80934971997511,4.83409552845528,1,0.98,6.72521038568431,2
"DTB120",0,0,106,1,53.55,0.01,6.33,0,0,0.103658536585366,2.36717216598115,2.47463902843758,1,1,6.49374933492284,1
"PAUC34f",0,0,214,1,62.85,0.01,4.56,0,0,0.0253034235382802,3.6954273035652,3.97992078293138,0.89,0.99,4.98533249201841,0
"SBR1093",5,5,148,2,66.77,0.02,2.99,0,0,4.22857316314296,4.85436998193877,5,0.53,0.95,4.42581220180285,0
"WS2",5,0.660619697360633,175,2,59.93,0.01,7.15,0.0240382523613662,0.269651448692458,0.678861788617886,3.41262591001766,3.77333034842483,1,1,7.99751110427273,2
"AC1",4.85436998193877,2.08870781287153,121,2,46.06,0.01,5.12,0.10437757068921,0.21890243902439,0.817617663575516,4.85887200813514,4.94969512195122,0.99,0.99,6.62645930959187,2
"FCPU426",5,0.969512195121951,188,2,55.96,0.01,6.54,0.220451872144733,0.238850987296432,0.47419698372466,1.01473577235772,1.06403801837489,1,0.99,7.18144904606142,2
"TACK",0,0.802845528455285,148,2,47.47,0.02,2.46,0,0,0.64222962546987,1.38070863751575,3.66456945224399,0.91,0.84,3.75609886420625,0
"Marine Hydrothermal Vent Group(MHVG)",5,4.78907526649162,134,2,78.39,0.01,6.74,0.594879870080593,0.615324216714476,1.86115345528455,4.58691727882587,4.80934971997511,0.99,0.99,7.69879166568826,2
"Bacteroidetes",2.97476013224662,0.802845528455285,225,2,63.55,0.01,7.17,0.00371810827629123,0.0556910569105691,0.887142633094035,2.81403420818978,2.94025409191747,0.99,1,8.01931966797591,2
"Marinimicrobia (SAR406 clade)",2.68613370872352,1.62960067995204,202,2,68.98,0.01,10.66,0,0.05,0.452235772357723,2.8020140859856,2.97569166717258,1,1,10.9128763983062,2
"Caldithrix phylum incertae sedis",5,2.90630881281588,218,2,58.7,0.02,3.58,0.354173180344125,0.882371459215526,3.02483750588128,4.01509023024269,4.01865302209338,0.99,0.93,4.14020412871629,0
