"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Bacteria (superkingdom)",0.621331584361621,2.07267869562857,221,2,61.93,0.01,6.48,0.621237967541286,0.749869639020721,1.91502866143941,2.05687319268197,2.16147505535258,1,1,6.63284045639868,2
"FCB group",3.59239629764959,2.43255476428056,83,2,40.95,0.01,6.12,2.02033451092274,2.03573331675721,2.52350485518053,3.40042264829421,3.64928325030887,1,1,6.64525370879492,2
"Proteobacteria (superphylum)",0.53566772343266,1.29660305437765,56,2,18.36,0.1,1.47,0.863948984052441,1.14459085179492,1.68800297099706,3.67025118562807,3.95054856215471,0.67,0.62,2.70298548437056,0
"Terrabacteria",3.4324438533782,3.37909224281028,63,2,43.77,0.01,4.21,1.20890504304134,1.41918251296131,3.26807131942649,3.43912177118538,3.455940616284,0.94,0.99,5.91490394703509,0
"DTB120",3.67025118562807,2.03122394661915,103,1,34.71,0.04,2,0.617977315831491,0.620533181292682,1.61478156740519,3.60651907875145,3.77944205661239,0.9,0.81,3.04915718870033,0
"PAUC34f",0.604639926720508,0.989946586288442,211,1,63.61,0.01,4.71,0.841174621351712,0.883049656207444,0.980258748963593,1.60444455947142,1.63389618102526,1,1,5.10062057254145,1
"SBR1093",0.899107755661913,1.54699481772202,146,1,44.43,0.02,3.45,0.898925293772813,0.903454786928086,1.47300105714449,2.05786540452277,3.30755405543009,0.91,0.97,4.72828377464935,0
"WS2",3.67025118562807,2.26216168871372,172,2,62.9,0.01,7.98,2.0399420426148,2.05760519114597,2.36915775903694,2.99291468038404,2.99733052455655,1,1,7.81516738748757,2
"AC1",3.47695706503649,2.85757827592513,121,2,57.2,0.01,5.53,2.17575429927433,2.40309456965574,2.97930334997456,3.52641145091734,3.59239629764959,1,1,5.94815808748022,2
"FCPU426",0.53566772343266,0.790622099533512,186,2,66.18,0.01,4.11,0.749869639020721,0.754963945335759,0.977267130673834,1.19617055097335,1.72423847403177,0.98,1,4.73142982444765,2
"TACK",0.621331584361621,0.899107755661913,148,1,46.24,0.19,0.84,0.863053531865507,0.883484359334062,1.40702687220236,2.97536370490423,3.2242261181095,0.46,0.72,2.82493424918339,0
"Marine Hydrothermal Vent Group(MHVG)",3.37909224281028,2.99291468038404,134,2,71.31,0.01,6.92,2.04547552134553,2.05859307627545,2.91829010657284,3.12497839803139,3.37909224281028,1,1,7.27591973036949,2
"Bacteroidetes",0.620257651023873,1.56462690217393,222,2,58.21,0.01,3.47,0.65624736787077,0.737475041899039,1.27978995855807,1.94115573474399,2.55702048558875,0.98,1,4.94661216061561,2
"Marinimicrobia (SAR406 clade)",0.53566772343266,1.54699481772202,199,2,62.87,0.01,7.8,1.10931102554634,1.12506955272638,1.48777627515616,2.18830096739399,2.32091720918482,1,1,8.31588183871493,2
"Caldithrix phylum incertae sedis",4.03084139883363,1.20890504304134,215,2,58.79,0.01,4.09,1.17913453490907,1.19565779668408,1.91335081683161,2.58028628689673,2.6232803679538,0.98,0.99,4.9621137942517,2
"Ca. Latescibacteria (WS3)",3.67025118562807,2.27801362384811,222,2,61.16,0.01,8.07,1.91680821033308,1.93480594673092,2.25076838332935,2.68366886799809,3.05614601690467,0.96,1,6.82082412641727,2
"Cloacimonetes",0.53566772343266,1.10528698658679,175,2,67.62,0.01,6.89,1.00616745124339,1.04936792908045,1.13698257611805,2.53908117573377,2.53908117573377,1,1,6.9844503124108,2
"Ca. Zixibacteria (RBG-1)",3.67025118562807,2.97519438209444,222,2,68.91,0.01,5.29,1.22748549878618,1.98874323700126,2.53243957892989,2.98354076053159,2.99581139796656,1,1,5.92262553281445,2
"LCP-89",2.99291468038404,2.07267869562857,181,2,66.27,0.01,7.92,1.17695158645431,1.20529820925456,2.07569305478316,2.67673450326981,2.80526898344958,1,1,8.32854808764942,2
"Proteobacteria",0.604639926720508,0.989946586288442,222,1,62.01,0.01,4.16,0.898518979366766,0.977369687937149,1.55752296318156,3.36465825239758,3.67025118562807,0.91,1,4.81082718602897,0
"Chloroflexi",0.604639926720508,2.27801362384811,210,2,80.61,0.01,6.35,1.60802651486016,1.65966499502323,2.04318578517496,2.36400546675157,2.42216396160547,1,1,7.14680708982552,2
"WS1",3.44471530704487,2.37687964866969,166,2,65.67,0.01,8.4,1.10823246559161,1.26920069358213,1.99808373980622,2.55236436934155,2.65755206071771,1,1,8.63751211097355,2
"Planctomycetes",2.99291468038404,2.99291468038404,174,2,79.3,0.01,6.46,2.06270429524516,2.07852521891266,2.52350485518053,2.99291468038404,3.01525565252695,1,1,7.11959744688151,2
"Ca. Omnitrophica (OP3)",0.824939988898102,2.5935694805045,220,2,61.83,0.01,3.29,0.824427066293528,0.843835280394775,1.66669154093943,2.96421506973478,2.99538927513023,0.96,0.97,3.94962199528481,2
"WA-aaa01f12",2.53908117573377,1.95017844169924,170,2,48.26,0.02,3.36,1.13412615993934,1.17614792718244,2.03947501716321,2.56060539157414,3.10261847193144,0.93,0.95,4.58480122122997,0
"Acidobacteria",0.749869639020721,0.865574108378748,80,1,32.28,0.05,2.14,0.658045845613249,0.75910224590305,1.02356711253139,2.96421506973478,2.98347653919314,0.58,0.88,4.30217113372648,0
"Ca. Acetothermia (OP1)",3.67025118562807,1.73652168235611,176,2,69.85,0.01,6.12,1.19541557314958,1.42739032302224,2.05859307627545,2.46832662524787,2.54180559097231,1,1,6.77782019902169,2
"Ca. Modulibacteria (KSB3)",0.604639926720508,0.84403512025432,206,2,68.83,0.01,3.93,0.604639926720508,0.605438329789447,0.84403512025432,2.98341231785468,3.15188132765676,0.95,0.97,4.51979464593165,2
"Ca. Tectomicrobia",4.03084139883363,1.42003963305277,173,1,63.5,0.01,7.61,1.36863715969861,1.38111213141965,1.66603124710173,2.03553536838082,2.0455773021813,1,1,8.56313932325379,1
