"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Bacteria (superkingdom)",0.42,0.995,224,2,70.59,0.01,8.97,0.84875521855,0.88,0.965,1.0955,1.5005,1,1,9.23344934220774,2
"FCB group",4.5425595238125,2.075,83,2,36.53,0.01,4.72,2.075,2.2485,2.76125,4.04202503209375,4.53775297619062,1,1,6.07199285230031,2
"Proteobacteria (superphylum)",4.5425595238125,4.5425595238125,56,1,25.69,0.29,0.54,0.515,0.515,2.4975,3.5951139553875,3.9800625,0.64,0.66,2.66576386156479,0
"Terrabacteria",4.58185701721875,3.255,64,2,27.57,0.01,4.6,2.317450261775,2.3975,3.37625,3.98001935841,4.441875,1,1,6.11895237422702,2
"DTB120",4.1105926724125,2.925,106,1,41.14,0.01,4.65,2.124875,2.475,3.18959008096875,4.0275625,4.0783125,1,1,6.07977211462886,1
"PAUC34f",0.485,2.4,214,1,64.97,0.01,8.82,1.555,1.599,2.175,2.5756840527575,2.87625,1,1,8.67010654340891,1
"SBR1093",4.63742249340625,3.26875,148,1,49.51,0.01,5.16,1.4454001749,1.6,3.29,3.751375,3.846,0.96,1,6.16339489582812,1
"WS2",0.515,3.225,175,2,63.47,0.01,9.31,2.065875,2.20875,3.175,3.434481132075,3.435,1,1,9.40005917076041,2
"AC1",4.5425595238125,2.9,121,2,52.31,0.01,7.49,2.2045,2.2125,2.795,3.99690500641875,4.3459375,1,1,8.20247420041374,2
"FCPU426",0.94,2.7975,188,2,63.82,0.01,10.5,0.99825,1.529,2.6512052573375,2.98575,3.01625,1,1,10.8200716057196,2
"TACK",0.485,0.855,148,2,52.28,0.01,2.55,0.87425,0.88,2.75,4.1910625,4.2480625,0.83,0.89,3.31976549429978,0
"Marine Hydrothermal Vent Group(MHVG)",4.5425595238125,3.225,134,2,49.15,0.01,5.29,2.07375,2.6499340527575,3.225,3.5967831343775,3.6595723261875,1,1,5.51511306524194,2
"Bacteroidetes",2.075,3.125,225,2,68.23,0.01,10.31,2.0425,2.075,2.725767496775,3.125,3.217875,1,1,11.1205928585656,2
"Marinimicrobia (SAR406 clade)",4.58185701721875,3.0625,202,2,73.59,0.01,11.36,2.621840527575,2.75,3.0625,3.30875,3.40275,1,1,12.320800981218,2
"Caldithrix phylum incertae sedis",4.58185701721875,3.74875,218,2,55.21,0.07,1.92,2.087364099255,2.353,3.750625,4.49525595238125,4.54281250000312,0.79,0.87,3.6102007127469,0
"Ca. Latescibacteria (WS3)",4.58185701721875,3.4525,225,2,57.15,0.01,4.54,3.186875,3.32625,3.77375,4.3875625,4.4974345238125,1,0.97,5.88324240420839,2
"Cloacimonetes",2.825,3.0925,175,2,79.09,0.01,15.52,2.4191950261775,2.621840527575,2.954418482075,3.13691171003375,3.1964375,1,1,15.1056148210319,2
"Ca. Zixibacteria (RBG-1)",0.8,0.94,225,2,67.21,0.01,4.93,0.798,0.8775,0.9975,3.4340141509425,3.4798125,1,1,5.22948757027513,2
"LCP-89",2.75,3.125,181,2,72.9,0.01,11.92,2.3495,2.49725,2.875,3.13,3.175625,1,1,13.4123051320258,2
"Proteobacteria",0.515,1.1,225,1,67.88,0.01,8.4,1.1,1.1635,1.525,3.66608799226875,3.728,1,1,8.61920998557613,1
"Chloroflexi",0.515,2.075,212,2,83.02,0.01,8.19,1.97175,2.07425,2.60875,3.175,3.223,1,1,8.3123399512989,2
"WS1",0.42,2.825,167,2,68.36,0.01,10.71,1.58375,1.64,2.4875,2.97578153547,3.1773125,1,1,11.0368415540514,2
"Planctomycetes",4.58185701721875,1.88,177,2,52.46,0.02,2.65,1.92975,1.95,3.4322747562375,4.550625,4.57705046959688,0.94,0.85,3.36828535315966,0
"Ca. Omnitrophica (OP3)",0.42,2.70153499355,223,2,65.43,0.01,6.23,0.84,0.92,2.652302490325,3.138475836425,3.43650707547125,1,1,6.83093823781455,2
"WA-aaa01f12",4.5425595238125,3.435,173,2,52.47,0.01,5.55,3.2045625,3.225,3.4575,3.93425,4.34934375,0.99,0.98,6.48665677213165,2
"Acidobacteria",0.7,1.1,82,1,43.94,0.01,7.54,1.0495,1.095,1.42732508745,1.64,1.74375,0.98,1,7.46686487777723,1
"Ca. Acetothermia (OP1)",2.75,2.65153499355,177,2,82.59,0.01,8.17,2.44875,2.65,2.8875,3.225,3.3071875,1,1,8.85470708043562,2
"Ca. Modulibacteria (KSB3)",0.515,3.1129301619375,208,2,68.45,0.01,9.25,1.81575,2.0725,2.76125,3.17625,3.2514375,1,1,10.1093966979955,2
"Ca. Tectomicrobia",4.44,2.1275,176,1,59,0.01,6.28,2.075,2.0975,2.76125,3.75525,3.885625,1,1,6.50296938410712,1
"Ca. Hydrogenedentes (NKB19)",0.8,2.0425,224,2,65.59,0.01,12.57,0.965,0.9995,2.185,2.77275,2.8275,1,1,12.2953520287947,2
"Ca. Atribacteria",3.5998171846375,3.0625,160,2,77.55,0.01,4.79,2.61549850119625,2.65153499355,3.05,3.5998171846375,3.6125,1,1,5.2187256282413,2
"Ca. Saccharibacteria (TM7)",1.19,3.125,222,1,58.92,0.01,5.81,1.19,1.3075,3.061875,3.254,3.425837248325,0.99,1,6.0885274585798,1
"Ca. Parcubacteria",0.995,2.825,102,2,37.35,0.01,4.05,0.96975,0.9995,2.8,3.4259766367,4.492375,0.98,0.96,4.29768672979044,2
"CPR2",4.58185701721875,2.05,175,2,71.09,0.01,11.13,1.555,2.095,2.76125,3.67240738290125,3.7515,1,1,12.4076107391999,2
"Ca. Microgenomates (OP11)",4.63742249340625,2.1,49,2,18.56,0.08,1.79,0.48375,1.723,3.59198316525,4.73875,4.73875,0.58,0.77,3.04252184929498,0
"Ca. Gracilibacteria",0.995,1.235,222,2,72.66,0.01,5.69,1.01425,1.0395,1.235,1.5805,1.595,1,1,6.05048665309217,2
"Ca. Peregrinibacteria",2.075,2.075,202,2,73.17,0.01,10.62,1.99875,2.04175,2.30890052355,2.75225,2.98390660203312,1,1,11.4209449729045,2
"Ca. Absconditabacteria (SR1)",2.0425,2.1,153,2,63.5,0.01,8.84,1.74,1.85,2.1,2.985,3.02888561977938,1,1,9.61568088176872,2
"Poribacteria",4.5425595238125,0.995,119,2,48.23,0.01,4.85,0.88,0.92,2.0625,3.266125,4.4425,1,1,5.31511153397514,2
"Ca. Aminicenantes (OP8)",4.58185701721875,2.2425,220,2,78.68,0.01,6.37,0.965,1.465,2.5809202637875,3.6014209323475,3.76199284825687,1,1,6.48167533162975,2
"Ca. Dependentiae (TM6)",4.188125,1.3147819851,225,1,60.34,0.02,2.54,1.035,1.092,1.34732508745,3.76425,4.016,0.92,0.89,3.28826147852576,0
"NC10",4.63742249340625,0.965,161,2,58.83,0.01,5.38,0.8,0.82,1.255,2.78025,3.63656543283063,1,1,5.6465176885924,2
"SPAM",0.485,0.84,192,2,72.55,0.01,5.16,0.8,0.8,1.11989099255,3.06425,3.12658689591062,1,1,5.68139111727085,2
"BRC1",0.88,2.65153499355,220,2,76.34,0.01,5.21,0.84900521855,0.8595,2.4,2.75,2.7925,1,1,5.64660590226497,2
"Marine Benthic Group E",2.1,2.05,23,1,18.7,0.01,7.83,2.0425,2.05,2.16,2.81,2.9767701159425,1,1,7.40749016875149,1
"Ca. Bathyarchaeota",0.515,0.855,219,2,79.48,0.01,4.18,0.855,0.892604696695,2.075,3.1308475836425,3.2530625,0.99,1,5.02196193083012,2
"Group C3",0.42,2.70153499355,172,2,59.36,0.01,5.05,0.99475,1.895,2.652302490325,3.2275,3.43306248086187,1,1,5.81978361048788,2
"Ca. Woesearchaeota",0.42,2.825,217,2,59.68,0.01,5.09,0.84718503937,0.967,2.7975,3.257,3.44147941324187,0.99,1,5.8270179045269,2
"Ca. Parvarchaeota",4.5425595238125,3.165,86,2,36.66,0.01,4.55,1.1475,1.5895,2.677302490325,4.5773034457875,4.58185701721875,0.99,1,5.62755271090113,2
"Ca. Lokiarchaeota",0.485,3.225,182,2,63.61,0.01,4.98,0.94,0.945,2.7725,3.238,3.28275,1,1,5.52931955751623,2
"Sphingobacteriia",4.1518426724125,3.1367379182125,68,2,32.33,0.01,7.09,2.70153499355,3.0975,3.6595723261875,4.06489505776875,4.14712338362062,1,1,8.15149506608338,2
"Cytophagia",0.58,2.0175,171,2,51.36,0.01,3.3,1.028,1.1,2.05,3.7385,4.11921713362062,0.84,0.98,3.94188213692198,0
"Bacteroidia",4.63742249340625,2.05,157,2,56.43,0.01,3.2,0.8499502609275,0.8795,1.54,2.50975,3.11283400809687,0.98,1,4.29587198737777,2
"Saprospiria",4.5425595238125,3.2825,175,1,62.76,0.01,5.39,2.64859202637875,2.745153499355,3.258125,3.69789772727,3.965,1,1,5.9998459127776,1
"Chitinophagia",0.445,3.125,143,1,53.75,0.01,7.63,1.304042885845,2.53525,3.225,3.3875,3.435875,1,1,7.7142102654423,1
"Bacteroidetes VC2.1 Bac22",0.42,1.525,222,2,85.89,0.01,16.05,1.5,1.559,2.44875,2.935453267735,3.00369811977937,1,1,16.7256573828161,2
"SM1A07",4.436875,2.0175,46,2,22.73,0.01,5.24,1.3295,1.903,2.925,4.3665625,4.436875,1,1,5.81384073077963,2
"SB-5",0.485,1.525,221,2,76.32,0.01,13.85,0.965,1.5815,2.1325,2.75,2.847625,1,1,14.608073367814,2
"Bacteroidetes BD2-2",0.42,2.0425,225,2,77.3,0.01,13.74,1.05525,1.5135,2.14625,3.02862848189625,3.10033400809687,1,1,14.4119790399781,2
"WCHB1-32",1.4396501749,1.815,172,2,68.78,0.01,8.01,1.23975,1.43566335592,1.8075,2.4025,2.5753267496775,1,1,8.62411804354967,2
