"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Abarenicola.claparedi",5.543,4.177,5,2,7.53,0.08,2.05,3.125925,3.127,4.1865,5.543,5.543,0.72,0.57,3.06768012688234,0
"Abra.alba",1.9,4.427,13,1,11.09,0.31,0.58,3.058075,3.1265,3.53475,4.34535,4.461475,0.57,0.4,1.78311907004173,0
"Abra.prismatica",4.3755,4.3365,4,2,6.1,0.02,1.82,2.879075,3.02995,4.33,5.36545,5.432975,0.64,0.6,3.0688246332189,0
"Abyssoninoe.hibernica",3.0305,3.0585,4,1,11.14,0.01,4.83,2.5,2.7855,3.06275,3.533,3.5976,0.94,0.66,4.78741455069247,0
"Alkmaria.romijni",3.1285,3.091,46,2,46.18,0.01,3.96,3.0585,3.0983,3.1285,3.79055,3.9911,0.89,1,3.99757775706519,0
"Allomelita.pellucida",3.1285,4.3755,5,1,5.43,0.19,0.74,3.128125,3.1285,3.3175,3.97365,4.146125,0.76,0.34,1.7302981448354,0
"Aonides.oxycephala",3.6045,3.6045,8,1,12.31,0.01,3.58,3.038575,3.1265,3.6045,3.63705,3.657525,0.98,0.87,3.65365912933452,0
"Aphelochaeta.sp.",1.543,3.429,4,1,6.67,0.05,2.43,1.543,1.60275,3.02975,3.503,3.6045,0.97,0.68,4.30641841568747,0
"Armandia.cirrhosa",3.1265,3.6045,8,1,10.49,0.01,3.18,2.855,3.05,3.295,3.63305,3.646175,0.92,0.76,3.31131948645668,0
"Asbjornsenia.pygmaea",1.6775,2.548,5,1,17.54,0.01,8.71,1.6076,1.6775,2.53,3.59295,3.633025,0.97,0.81,6.77778079551071,0
"Capitella.capitata",3.2525,3.5925,67,2,61.86,0.01,4.65,3.2071,3.244,3.47925,4.1754,5.07085,0.99,0.96,5.01333618108757,2
"Carcinus.maenas",3.004,3.004,15,2,15,0.11,1.58,2.94,2.9501,3.21,4.9131,5.761725,0.77,0.57,2.46615060686823,0
"Cerastoderma.edule",1.4475,3.1315,8,1,11.05,0.02,2.7,1.375,1.40545,3.12875,3.3376,3.450625,0.93,0.78,3.52995779070198,0
"Cerastoderma.glaucum",3.0095,3.621,4,1,6.06,0.11,1.9,2.629,2.7374,3.1285,3.63785,3.691575,0.92,0.56,2.7127517431701,0
"Cerianthus.sp.",3.0305,3.067,6,1,8.46,0.09,1.77,2.335,2.8418,3.44225,5.487,5.501,0.64,0.77,3.25479063361316,0
"Chaetozone.gibber",4.211,4.177,16,2,17.97,0.01,2.55,3.131375,3.5226,4.26225,5.4645,5.4645,0.89,0.7,3.2926256683927,0
"Corbula.gibba",4.3305,4.177,22,2,20.45,0.02,2.34,3.1262,3.24215,4.211,5.46495,5.4785,0.93,0.78,3.39953805385331,0
"Corophium.multisetosum",4.4785,4.4785,10,1,10.64,0.1,1.3,3.0585,3.0585,3.36575,4.3773,4.4785,0.62,0.38,1.74649361810948,0
"Corophium.urdaibaiense",4.194,4.211,5,1,5.75,0.35,0.95,3.1353,3.1703,3.47125,4.2112,4.223,0.59,0.31,1.70776970181472,0
"Corophium.volutator",5.85,3.3835,7,2,10.94,0.01,3.49,3.315375,3.317,3.3835,5.759,5.85,0.97,0.78,3.6114835340078,0
"Cossura.sp.",4.211,4.211,8,2,8.19,0.13,1.06,2.2065,2.5462,3.58175,4.33105,4.3755,0.58,0.46,2.16075145715885,0
"Crassostrea.gigas",1.6775,2.151,5,1,14.66,0.04,3.73,1.6285,1.6775,2.8865,3.786,3.897075,0.84,0.8,5.51171747669185,0
"Cyathura.carinata",5.4645,3.1205,81,2,70.02,0.01,6.29,2.978325,3.0095,3.1265,3.8733,4.271525,0.86,1,7.18699836767437,0
"Cylichna.cylindracea",3.1265,3.1265,7,1,11.77,0.02,3.19,2.833125,3.00895,3.13725,3.6009,3.622075,0.95,0.77,3.93452245147892,0
"Desdemona.ornata",2.7855,3.2525,12,2,10.42,0.09,1.5,3.17435,3.216,3.6495,3.9715,5.036025,0.82,0.5,2.22666401523841,0
"Diptera",2.855,3.1265,56,2,48.88,0.01,4.42,2.886175,3.0272,3.1285,3.19115,3.201325,0.99,0.99,5.29308132714302,2
"Dosinia.lupinus",3.1205,3.067,5,2,5.21,0.21,0.4,3.125,3.1317,3.63325,5.06435,5.455475,0.55,0.31,1.53824344758,0
"Echinocardium.cordatum",3.1265,3.1305,4,1,8.63,0.05,3.24,2.88,3.0305,3.1305,3.503,3.533175,0.96,0.65,3.92602898732427,0
"Euclymene.oerstedii",4.3755,4.3755,6,2,6.46,0.34,0.5,3.128975,3.13825,3.53525,5.36545,5.44265,0.72,0.46,1.88960352579726,0
"Euglesa.casertana",2.548,3.621,8,2,7.39,0.11,1.05,2.495875,2.548,3.39375,4.9995,5.0595,0.53,0.74,3.44913683366571,0
"Eumida.bahusiensis",3.429,3.411,4,2,4.24,0.31,0.94,3.120225,3.2195,3.5925,5.4325,5.4645,0.48,0.28,2.12189496888885,0
"Eurydice.affinis",2.723,2.8865,6,1,21.24,0.01,7.74,2.2795,2.40925,2.741,3.25115,3.263525,1,0.98,9.62171982157913,1
"Euspira.nitida",3.5925,3.6045,7,1,8.49,0.05,1.98,2.22035,2.909,3.50925,3.6335,3.727875,0.87,0.57,2.60816444445938,0
"Ficopomatus.enigmaticus",3.9715,3.9715,4,2,9.3,0.02,3.68,3.748,3.78645,3.95,4.272,4.2765,1,0.83,4.31059405950754,0
"Gammarus.sp.",5.4325,5.4325,4,2,11.69,0.05,4.66,3.32575,3.343,4.427,5.667,5.713225,0.96,0.71,5.18306958159644,0
"Glycera.tridactyla",4.536,3.9715,7,1,7.03,0.23,1.19,3.12985,3.16895,3.56275,3.89815,3.994925,0.59,0.36,2.01226150930358,0
"Glycera.unicornis",5.543,5.7175,18,1,15.79,0.37,0.53,2.765275,3.02785,3.429,5.37355,5.4645,0.54,0.52,2.2769432741842,0
"Grandidierella.japonica",3.1265,4.0125,11,1,10.57,0.09,1.5,3.120225,3.1265,3.54775,4.19595,4.394275,0.45,0.46,2.10784374583065,0
"Hediste.diversicolor",3.091,3.1205,81,2,75.78,0.01,7.96,3.004,3.008,3.09375,3.1332,3.171,1,1,7.82717239322194,2
"Hemigrapsus.takanoi",3.171,3.1505,10,2,11.36,0.05,2.5,3.139,3.15015,3.2095,4.3315,4.370275,0.52,0.7,2.94641093954317,0
