"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Abarenicola.claparedi",0.997,0.997,6,2,7.43,0.132,1.15,0.322,0.3375,0.7255,1,1,0.664,0.634,3.15875612608621,0
"Abra.alba",1,1,16,2,57.02,0.004,13.11,0.965,0.976,1,1,1,1,0.998,13.2549983381762,2
"Abra.prismatica",0.7845,0.773,4,2,4.74,0.076,1.68,0.3975,0.398,0.7825,1,1,0.742,0.606,3.08933231116306,0
"Abyssoninoe.hibernica",1,0.9905,5,2,15.81,0.004,5.6,0.72,0.721,0.976,1,1,0.986,0.878,5.58615214506304,0
"Alkmaria.romijni",0.871,0.8465,53,2,43.07,0.004,4.26,0.5015,0.539,0.84225,0.891,0.895,0.996,0.994,4.79748782104245,2
"Allomelita.pellucida",0.7175,0.7175,7,2,7.87,0.032,2.42,0.6979,0.706,0.721,0.822,0.843,0.968,0.764,3.1056056541313,0
"Aonides.oxycephala",1,0.997,11,2,53.97,0.004,12.96,0.956,0.975,0.9985,1,1,1,0.998,14.4563938242706,2
"Aphelochaeta.sp.",1,0.6705,5,2,5.81,0.052,2.3,0.6599,0.667,0.72,1,1,0.896,0.564,2.83013861371077,0
"Aricidea.suecica.meridionalis",1,0.9905,4,2,16.14,0.004,6.83,0.72,0.7219,0.987,1,1,0.966,0.806,5.88008746290636,0
"Armandia.cirrhosa",1,0.997,10,2,53.32,0.004,12.14,0.942425,0.96045,0.997,1,1,0.998,0.996,13.8819042451508,2
"Asbjornsenia.pygmaea",1,0.793,5,2,10,0.004,5.65,0.781,0.7855,0.866,0.891,1,0.99,0.928,6.447101967175,0
"Bathyporeia.pilosa",0.7825,0.7825,4,1,3.92,0.236,1.04,0.5265,0.546,0.658,0.783,0.7845,0.672,0.276,1.53183587350236,0
"Capitella.capitata",0.1185,0.5505,80,1,46.42,0.04,2.01,0.097,0.10015,0.3765,0.652,0.953124999999999,0.828,0.634,2.74099129902625,0
"Carcinus.maenas",0.947,0.947,17,2,21.88,0.032,3.15,0.500175,0.574,0.925,0.947,1,0.86,0.902,4.2749716627411,0
"Cerastoderma.edule",0.904,0.606,9,1,7.57,0.116,1.35,0.5265,0.5453,0.633,0.904,0.9345,0.506,0.838,3.27160967659436,0
"Cerastoderma.glaucum",1,0.9425,4,2,9.84,0.048,3.58,0.464,0.50125,0.914,1,1,0.874,0.7,4.45147911304088,0
"Cerianthus.sp.",1,1,7,2,47.93,0.004,15.04,0.95,0.96,0.997,1,1,0.986,0.972,12.996894153351,2
"Chaetozone.gibber",1,1,20,2,38.49,0.012,3.79,0.446,0.5015,1,1,1,0.822,0.808,4.20270392052277,0
"Corbula.gibba",1,0.997,27,2,52.56,0.004,7.34,0.7845,0.9778,1,1,1,0.972,0.98,7.67573078256456,2
"Corophium.multisetosum",0.561,0.561,11,2,9.73,0.092,1.46,0.5525,0.5565,0.641,0.7705,0.7825,0.816,0.578,2.06947993524551,0
"Corophium.urdaibaiense",0.599,0.606,6,1,7.12,0.032,2.47,0.375725,0.463,0.602,0.74155,0.8912,0.878,0.618,2.94171357136921,0
"Corophium.volutator",0.83,0.826,8,2,14.52,0.004,5.54,0.273,0.77415,0.826,0.841,0.866,0.904,0.982,6.10997402507971,0
"Cossura.sp.",1,1,8,2,34.63,0.008,5.18,0.66085,0.7725,0.997,1,1,0.966,0.812,4.53445286450898,0
"Crassostrea.gigas",0.9555,0.904,5,2,11.41,0.024,4.11,0.5505,0.78295,0.904,0.9943,1,0.924,0.858,5.26654045841707,0
"Cyathura.carinata",0.226,0.4035,103,2,68.87,0.004,5.22,0.397,0.4,0.4275,0.6747,0.736,0.998,1,5.95444203660435,2
"Cylichna.cylindracea",1,1,9,2,78.37,0.004,13.09,0.93275,0.956,0.997,1,1,1,0.998,14.9366192882578,2
"Desdemona.ornata",0.976,0.9605,13,2,20.29,0.016,3.39,0.6765,0.70125,0.9715,1,1,0.88,0.886,5.09349004774651,0
"Diogenes.pugilator",0.629,0.616,4,2,3.96,0.256,1.04,0.613,0.6205,0.663,0.7855,0.800225,0.674,0.258,1.63271697053787,0
"Diptera",0.136,0.208,74,2,49.56,0.024,2.35,0.2,0.208,0.4005,0.9525,0.9525,0.576,0.922,2.80207749183786,0
"Dosinia.lupinus",0.9905,0.9905,7,2,22.63,0.008,6.71,0.698,0.7825,0.9715,1,1,0.966,0.912,6.18910091314945,0
"Echinocardium.cordatum",0.997,0.997,7,2,22.58,0.012,5.58,0.72095,0.7245,0.987,1,1,0.996,0.96,6.59452249887592,2
"Euclymene.oerstedii",1,0.7845,6,2,9.11,0.02,3.07,0.40295,0.75605,0.7845,1,1,0.91,0.842,4.44804884707914,0
"Euglesa.casertana",1,0.6705,16,2,11.85,0.096,1.38,0.551,0.5728,0.743,1,1,0.66,0.584,2.10502782297414,0
"Eumida.bahusiensis",1,0.8435,5,2,9.95,0.004,4.85,0.4206,0.8364,0.881,1,1,0.94,0.892,5.97184338029286,0
"Eurydice.affinis",0.6355,0.629,8,2,8.08,0.076,2.07,0.619,0.628,0.6355,0.70555,0.721,0.88,0.67,2.52830448794124,0
"Euspira.nitida",1,1,8,2,77.17,0.004,13.09,0.7845,0.8495,0.997,1,1,1,1,12.2599856265685,2
"Ficopomatus.enigmaticus",0.9225,0.9175,5,2,8.95,0.036,2.95,0.574,0.612,0.9115,0.9525,0.955,0.788,0.64,3.37191785660355,0
"Galathowenia.oculata",1,1,4,2,19.87,0.004,9.24,0.777,0.7825,0.976,1,1,0.98,0.898,6.95281653900728,0
"Gammarus.chevreuxi",1,0.9525,4,2,18.31,0.004,9.18,0.676475,0.9098,0.9525,1,1,0.952,0.85,8.00710937185302,0
"Gammarus.sp.",0.3765,0.4005,4,1,7.8,0.092,2.98,0.2575,0.319,0.3975,0.7705,0.772,0.894,0.534,3.66087016619736,0
"Gastropoda",1,1,5,2,12.89,0.188,1.97,0.6028,0.61,0.8165,1,1,0.862,0.508,2.59007122409714,0
"Glycera.convoluta",0.7315,0.7315,4,1,4.65,0.116,1.99,0.404,0.41085,0.698,0.741,0.742,0.912,0.384,2.26813209719003,0
"Glycera.tridactyla",0.7315,0.7315,7,2,6.75,0.064,1.82,0.628775,0.63595,0.7315,0.8,0.8222,0.79,0.54,2.21396679764285,0
"Glycera.unicornis",1,0.997,22,2,50.52,0.004,8.46,0.72,0.84895,1,1,1,0.996,0.996,8.09049765393076,2
"Grandidierella.japonica",0.463,0.463,12,2,9.52,0.152,1.09,0.540675,0.549,0.7655,0.9715,1,0.832,0.578,2.17106994756877,0
"Harpinia.pectinata",1,0.9905,4,2,14.61,0.016,5.54,0.8095,0.816,0.9385,1,1,0.98,0.886,6.18108334061177,0
"Haustorius.arenarius",0.9905,0.9905,4,2,7.73,0.088,1.55,0.497575,0.5724,0.8095,0.9905,0.9905,0.766,0.412,2.25130993190159,0
"Hediste.diversicolor",0.136,0.322,105,2,63.58,0.008,3.23,0.20765,0.225,0.463,0.9115,0.993525,0.946,0.952,3.95512024830515,0
"Hemigrapsus.takanoi",0.884,0.8345,13,2,19.1,0.004,7.12,0.742,0.743,0.866,0.8905,0.891,0.996,0.99,7.55425474279786,2
"Heteromastus.filiformis",1,1,28,2,53.72,0.004,5.34,0.404475,0.6765,0.95,1,1,0.926,0.904,4.90145869291867,0
"Hippomedon.denticulatus",0.629,0.616,4,2,3.96,0.292,1.04,0.613,0.6235,0.69675,0.7855,0.79335,0.706,0.304,1.71721511640865,0
"Hyala.vitrea",1,0.9555,5,2,19.25,0.004,9.12,0.409225,0.95225,1,1,1,0.924,0.92,9.01798230031017,0
"Insecta",0.8345,0.8345,12,2,10.88,0.084,1.51,0.5525,0.573,0.83,1,1,0.836,0.676,2.58886784257606,0
"Iphinoe.tenella",1,0.997,12,2,43.91,0.004,10.37,0.8465,0.956,1,1,1,1,0.988,10.7337740558579,2
"Kurtiella.bidentata",0.997,0.7175,14,2,17.19,0.004,4.91,0.698,0.7055,0.72,1,1,1,0.996,5.58510746900625,2
"Lagis.koreni",1,0.997,6,2,26.46,0.004,8.28,0.721,0.8104,0.9935,1,1,0.99,0.946,7.88498235847113,0
"Laonice.cirrata",1,0.997,6,2,26.4,0.004,9.13,0.72,0.7254,0.997,1,1,0.992,0.946,7.53466448978498,0
"Lekanesphaera.hookeri",0.9225,0.9225,11,2,17.76,0.008,4,0.646725,0.73995,0.908,0.95,1,0.976,0.896,4.79329438895344,0
"Lekanesphaera.rugicauda",0.9115,0.9115,8,2,15.81,0.004,4.71,0.5609,0.79625,0.904,0.914,1,0.924,0.876,5.11158315863339,0
"Lekanesphaera.sp.",0.976,0.6455,4,2,4.3,0.112,1.71,0.635425,0.6425,0.677,0.9715,0.976,0.842,0.348,2.03376167268741,0
"Leptocheirus.pilosus",1,0.9175,8,2,11.45,0.032,2.74,0.5095,0.65505,0.904,1,1,0.846,0.756,3.38350510667815,0
"Leptognathiidae",0.9905,0.9605,4,2,12.3,0.04,3.99,0.7055,0.714,0.9605,1,1,0.98,0.722,4.48172655596958,0
"Leptosynapta.galliennii",0.8165,0.8165,4,2,8.7,0.004,4.87,0.780975,0.786,0.8165,1,1,0.978,0.834,5.15656010888546,0
"Loripes.orbiculatus",1,0.9905,7,2,15.89,0.012,4.09,0.7705,0.7789,0.976,1,1,0.964,0.858,5.25198005832359,0
"Lucinella.divaricata",1,0.9905,5,2,31.84,0.004,9.62,0.881,0.88845,0.997,1,1,0.992,0.98,12.0525483553071,2
"Lumbrineris.lusitanica",1,0.9905,7,2,32.41,0.004,9.18,0.846475,0.8495,0.997,1,1,0.99,0.98,10.5507264770758,2
"Magelona.alleni",1,0.997,8,2,32.67,0.004,7.65,0.77545,0.781,0.997,1,1,0.996,0.982,8.51774185062148,2
"Malacoceros.fuliginosus",0.1185,0.208,7,1,45.31,0.004,13.78,0.1045,0.126,0.225,0.4005,0.409525,0.998,0.988,14.1059493690591,1
"Malacoceros.girardi",1,0.997,4,2,27.17,0.004,8.94,0.7197,0.94235,0.997,1,1,0.956,0.91,9.2573936029429,0
"Malacoceros.sp.",1,0.9225,9,2,16.89,0.004,5.19,0.72,0.7255,0.925,1,1,0.948,0.87,5.43130332449513,0
"Maldanidae",0.6535,0.651,5,2,5.49,0.06,2.09,0.641475,0.646,0.707,0.849,0.8495,0.91,0.504,2.49350681231755,0
"Manayunkia.aestuarina",0.871,0.8495,10,2,21.05,0.004,8.15,0.8258,0.83,0.869,0.899,0.8995,0.998,0.994,9.14574309123798,2
"Mediomastus.fragilis",1,0.997,30,2,49.51,0.004,6.14,0.6535,0.7055,1,1,1,1,0.996,6.99508197102902,2
"Melinna.palmata",1,1,6,2,22.66,0.012,4.96,0.5505,0.555,1,1,1,0.846,0.748,4.69891060046381,0
