"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Abarenicola.claparedi",2.41755279745,2.41755279745,6,2,15.34,0.01,6.93,2.2229014594875,2.2416316006,2.361103498275,2.44174703865,2.771931180075,1,0.98,8.19835402144785,2
"Abra.alba",2.41755279745,2.37281877815,16,2,40.46,0.01,14.13,2.188180243935,2.201357502275,2.393709041,2.511941584905,3.2078900075,1,1,14.6122780439049,2
"Abra.prismatica",3.27816166705,2.24937209235,4,2,10.81,0.01,6.67,2.1892928130375,2.215376950305,2.4255976163,3.267124608535,3.27816166705,1,0.95,8.1571845344769,2
"Abyssoninoe.hibernica",2.24937209235,2.23100050595,5,2,13.16,0.01,8.49,2.15597099622,2.16917182575,2.23100050595,2.34900660687,2.3582227552375,1,0.97,7.36954814138879,2
"Alkmaria.romijni",1.19939435895,1.25314681535,53,2,36.59,0.02,3.25,1.18861221839,1.195022298605,1.318868831525,2.1884896815,2.20614139109,0.77,0.99,3.828036551167,0
"Allomelita.pellucida",3.64122828245,3.64122828245,7,2,19.27,0.03,3.45,0.8999633490725,0.9134644721,1.23420152785,3.928017732215,4.022989052245,0.43,0.77,5.28283402709115,0
"Aonides.oxycephala",2.24937209235,2.23100050595,11,2,16.71,0.01,5.33,1.5950430373375,1.61770232664,2.205357977475,2.3518035762,2.418826228325,1,0.99,6.15146214838439,2
"Aphelochaeta.sp.",3.49436310305,3.1083805375,5,2,20.91,0.01,8.95,2.36288107635,2.37281877815,2.9134296984,3.431211230455,3.47669193,0.99,0.97,9.8885540000921,2
"Aricidea.suecica.meridionalis",2.24937209235,2.23100050595,4,2,10.53,0.01,8.04,2.14295212445,2.1560812289,2.2416316006,2.35711862005,2.4175989645825,1,0.87,6.90325386767709,0
"Armandia.cirrhosa",2.24937209235,2.23100050595,10,2,19.8,0.01,8.86,1.6169591034775,1.681927825765,2.227414958825,2.3518035762,2.3582227552375,1,0.99,8.10929959010128,2
"Asbjornsenia.pygmaea",0.415,0.79789154655,5,1,21.13,0.01,9.18,0.415,0.463851722865,0.68757775795,0.966278425550001,1.8274478846425,0.92,0.9,10.642608750229,0
"Bathyporeia.pilosa",0.6565774215,0.69262238055,4,1,29.71,0.01,17.92,0.54045417086,0.645722692005,0.764697908925,1.026302204415,1.11703407936,0.97,0.95,11.8763498945627,1
"Capitella.capitata",2.41755279745,2.37281877815,80,2,85.81,0.01,7.8,1.540933050215,1.91017059236,2.356014969975,2.422410908765,2.4325261581775,1,1,8.16849982986869,2
"Carcinus.maenas",3.64122828245,1.52292772325,17,2,10.99,0.09,1.65,1.1077176798325,1.18120173534,1.539893637175,3.9346515446,4.086461833335,0.84,0.77,3.10410676687811,0
"Cerastoderma.edule",0.415,0.9826610405,9,1,20.72,0.01,6.98,0.39109149005,0.46749808803,0.870230383525,1.123625681195,3.6550588854175,0.92,0.99,9.12950555955189,0
