"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Abarenicola.claparedi",3.1166174012,2.50979352515,6,2,15.34,0.01,8.04,2.19527214556,2.228656398545,2.58098908275,3.1166174012,3.1166174012,1,0.97,8.88312081552543,2
"Abra.alba",2.62082543465,2.5298383763,16,2,35.95,0.01,14.12,2.1064850967375,2.114394156175,2.254943701825,2.65594425305,2.710618280535,1,1,13.0124126881795,2
"Abra.prismatica",3.2085380591,2.30738398205,4,2,12.9,0.01,10.59,2.2566554224,2.2988950609,2.48790883585,2.929508777325,3.1035065077525,0.99,0.96,10.3354566080271,2
"Abyssoninoe.hibernica",2.50979352515,2.4859908564,5,2,18.52,0.01,9.49,2.255136302045,2.29543954765,2.4446537931,2.54746193929,2.5571145018325,0.99,0.99,10.0135675371294,2
"Alkmaria.romijni",2.5968024483,1.3711644785,53,2,38.36,0.01,4.08,1.36541620776,1.37577232655,1.5398326234,2.164281962685,2.2123682046325,0.68,1,4.68008782621721,0
"Allomelita.pellucida",3.2085380591,3.2085380591,7,2,19.27,0.03,4.91,1.0824199206,1.10277761056,1.239041513675,3.21037051491,3.273891923895,0.44,0.87,4.81473072277471,0
"Aonides.oxycephala",2.1428356955,2.13948964445,11,2,18.9,0.01,6.27,1.873243693305,1.89675031386,2.140212014825,2.24795480925,2.25551427535,1,1,7.39108008242959,2
"Aphelochaeta.sp.",2.62082543465,2.5968024483,5,2,17.85,0.01,7.86,2.375380523035,2.505878874715,2.62082543465,3.031290247,3.191129728905,0.99,0.92,9.60712377926681,0
"Aricidea.suecica.meridionalis",2.50979352515,2.5968024483,4,2,13.3,0.01,9.19,2.2472353981525,2.2765347029,2.465050526575,2.5968024483,2.67185721852,0.99,0.92,8.95285243063806,0
"Armandia.cirrhosa",2.1428356955,2.13948964445,10,2,19.04,0.01,7.59,1.8737892166,1.936422721225,2.1409343852,2.47942575703,2.58742978459,1,1,8.59718961590162,2
"Asbjornsenia.pygmaea",0.5754043679,0.5754043679,5,1,38.42,0.01,7.79,0.5754043679,0.612909785695,0.7474463955,1.87570738946,1.96755698195,0.87,0.86,9.91727917592216,0
"Bathyporeia.pilosa",0.96270351305,1.0238522176,4,1,19.05,0.01,15.06,0.7463103563175,0.813813620655,0.9664684528,1.049294606575,1.12193294107,0.98,0.94,12.9598099528392,0
"Capitella.capitata",2.2989484026,2.2969474004,80,2,87.25,0.01,8.46,1.952793633475,2.082868553315,2.2996821952,2.44411019675,2.455474214565,1,1,8.77022856157262,2
"Carcinus.maenas",1.38509118345,1.38509118345,17,2,13.39,0.02,2.97,1.2682175735175,1.2821322394,1.38509118345,3.03226783159,3.0724473491,0.82,0.8,3.40049196396987,0
"Cerastoderma.edule",0.6780984511,0.9241236036,9,1,41.92,0.01,13.46,0.67782545202,0.70081923475,0.89214110785,0.9485253007,0.9978241314625,0.98,1,14.6438624752762,1
"Cerastoderma.glaucum",0.5754043679,0.7989463955,4,1,17.51,0.03,4.89,0.64322360265,0.726727921635,0.920408011,3.120936645985,3.2268626172,0.68,0.95,8.83269194001226,0
"Cerianthus.sp.",2.86728659415,2.13948964445,7,2,15.22,0.01,7.65,2.0741545063375,2.10667694432,2.443838398575,2.815155175245,2.86728659415,1,0.98,8.88384246353457,2
"Chaetozone.gibber",3.2085380591,3.2085380591,20,2,74.68,0.01,11.63,2.243878008775,2.454325620465,2.766631831925,3.19204595681,3.2085380591,1,1,12.9536707550624,2
"Corbula.gibba",3.2085380591,2.5968024483,27,2,70.78,0.01,15.6,2.0935585413375,2.13832723706,2.476007501475,2.607097516375,2.7370635065,1,1,16.4361157828114,2
"Corophium.multisetosum",1.0824199206,1.1029651238,11,1,19.85,0.01,6.67,1.0666115038,1.0677623779,1.16966029705,1.32495465674,1.32807925447,1,0.98,7.2045264593495,1
"Corophium.urdaibaiense",0.89214110785,1.54074470235,6,1,8,0.01,3.58,0.89214110785,0.89214110785,1.514373954525,1.651842945025,1.6642788209,1,0.89,4.76372419791737,0
"Corophium.volutator",1.65638426155,1.66775455915,8,1,9.88,0.01,3.45,1.066553960095,1.29712954214,1.6614301688,1.702353395135,1.7300666825325,1,0.93,4.33516188019745,0
"Cossura.sp.",3.2085380591,2.5968024483,8,2,36.36,0.01,16.72,2.4543528002825,2.4762646694,2.570398924575,3.120936645985,3.2085380591,1,1,15.5763097732172,2
"Crassostrea.gigas",0.5754043679,0.5754043679,5,1,35.19,0.01,5.69,0.56643822235,0.5754043679,0.692188833725,2.14800036864,2.3092201417125,0.84,0.7,4.6245466148527,0
"Cyathura.carinata",0.5754043679,1.31972438935,103,2,52.99,0.01,3.58,1.08420129638,1.17564510905,1.329322697675,2.503778332755,3.0410660929,0.73,1,4.7378218457787,0
"Cylichna.cylindracea",2.1428356955,2.13948964445,9,2,14.36,0.01,6.14,1.892396933375,1.9377587183,2.1409343852,2.62082543465,2.8748558071375,0.99,0.99,6.95742173500675,2
"Desdemona.ornata",1.67126155915,1.67126155915,13,2,16.32,0.01,5.42,1.5531651075475,1.6513383543,1.67126155915,2.2765347029,2.2969474004,1,1,5.40364080920474,2
"Diogenes.pugilator",1.52506761435,1.5549048803,4,1,5.26,0.02,2.81,1.33325627855,1.3399551533,1.518258856925,1.560893549675,1.6513383543,0.99,0.62,3.20380769842081,0
"Diptera",2.30738398205,2.30738398205,74,1,54.52,0.01,6.29,1.6801924836775,1.727979580985,2.0580594448,2.301112787225,2.3143519763,1,1,7.27330087391674,1
