"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Abarenicola.claparedi",3.5,14.5,5,1,12.42,0.01,5.13,-123,-64,-7.5,36,160.675,0.94,0.86,5.84487800669535,0
"Abra.alba",31.5,31.5,13,1,28.62,0.01,6.83,-123,-100.5,32.5,40,49.15,1,0.99,7.77885341064212,1
"Abra.prismatica",31.5,31.5,4,1,11.76,0.01,4.71,-41.05,-31.3,31.75,40,45.05,1,0.81,5.98463107417385,0
"Abyssoninoe.hibernica",71,71,4,1,8.33,0.01,3.68,-64,-61.6,71,83,84.7,0.97,0.71,4.13805071296746,0
"Alkmaria.romijni",299.5,289,46,1,46.34,0.01,4.07,-41.65,82.75,262,300,307.575,0.96,0.99,4.58294690506998,1
"Allomelita.pellucida",473.5,460.5,5,2,11.15,0.08,2.3,-97,-97,343.75,471,473.5,0.68,0.85,5.75209105207468,0
"Aonides.oxycephala",-137.5,-137.5,8,1,56.62,0.01,10.22,-141.675,-137.5,-89,47.2000000000001,76.05,1,0.96,7.96143752151821,1
"Aphelochaeta.sp.",443,443,4,2,8.43,0.07,0.99,-15.225,13,146.5,443,443,0.66,0.38,2.28451770885109,0
"Armandia.cirrhosa",-137.5,-137.5,8,1,36.69,0.01,5.76,-149,-141.85,-60.5,155.95,162.325,0.99,0.92,5.26777820985159,0
"Asbjornsenia.pygmaea",-137.5,-100.5,5,1,8.58,0.04,2.79,-159.5,-149,304,332.5,347.7,0.42,0.74,3.95758571457534,0
"Capitella.capitata",-58.5,132.5,67,1,65.79,0.01,5.41,-53.5,-49,110,232,247.275,1,1,6.39393056078085,1
"Carcinus.maenas",-137.5,3.5,15,1,18.58,0.01,3.85,-137.5,-134,-7,237.8,246,0.98,0.92,4.87661540529698,0
"Cerastoderma.edule",-97,345.5,8,1,8,0.25,1.02,-97.025,-97,69.75,336.2,341.075,0.63,0.51,2.64724388432331,0
"Cerastoderma.glaucum",-123,-123,4,1,12.08,0.09,2.62,-123,-118.5,68.5,237.65,322.575,0.84,0.44,2.67338081262444,0
"Cerianthus.sp.",150.5,150.5,6,1,8.7,0.03,2.95,21.5,42.3,150.5,163.55,170.525,0.99,0.69,3.11054514006629,0
"Chaetozone.gibber",-97,-100.5,16,1,43.11,0.01,7.43,-123,-100.5,-64,104.95,119.025,1,1,9.09091335225469,1
"Corbula.gibba",-118.5,-100.5,22,1,72.97,0.01,12.34,-130.375,-123,-98.75,37,40,1,1,12.0414907055086,1
