"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Abarenicola.claparedi",18.5,21.8,5,1,10.15,0.01,4.13,-69.4975,-37.73,21.75,47.8,52.105,0.99,0.85,4.30684466619426,0
"Abra.alba",-21.2,28.35,13,1,25.33,0.01,6.69,-26.8,-25.115,21.75,41.555,46.785,1,1,7.63530472581942,1
"Abra.prismatica",18.5,21.8,4,1,10.26,0.01,5.11,-29.445,-0.6,18.5,27.33,29.2125,0.99,0.78,5.33368458032784,0
"Abyssoninoe.hibernica",18.5,18.5,4,1,10.81,0.01,5.69,-22.8675,-5,19.2,28.08,31.35,1,0.85,5.40681313260927,0
"Alkmaria.romijni",244.7,176.5,46,1,43.67,0.01,3.59,-25.3275,36.355,154,252.4,264.48,0.91,0.95,3.77452572685124,0
"Allomelita.pellucida",-76.8,-64.75,5,1,11.98,0.1,2.38,-76.8,-74.2,-57.125,396.33,397.47,0.6,0.78,5.02612122993313,0
"Aonides.oxycephala",18.5,41.55,8,1,16,0.01,5.88,-25.25,-20.265,27.45,49.3,59.2,1,0.99,6.17804937533672,1
"Aphelochaeta.sp.",-55.2,-53.75,4,1,17.06,0.02,4.67,-76.93,-67.72,-35.7,324.29,341.66,0.84,0.85,6.771975713446,0
"Armandia.cirrhosa",-26.8,41.55,8,1,16,0.01,6.72,-25.3275,-22.075,19.3,49.3,51.75,1,1,6.78486437825756,1
"Asbjornsenia.pygmaea",366.5,363.2,5,2,12.04,0.05,3.7,7.25,7.25,300.75,366.5,392.4425,0.77,0.78,4.1175932428776,0
"Capitella.capitata",1.8,41.55,67,1,75.9,0.01,6.85,-16.85,-2.57,33.175,68.4,74.04,1,1,7.03993178016477,1
"Carcinus.maenas",293.85,191.25,15,1,15.3,0.03,2.66,-5.12,15.3,95.25,249.615,306.5175,1,0.87,4.19989137233201,0
"Cerastoderma.edule",289.15,289.15,8,2,16.05,0.01,3.94,-76.8,-74.2,278.35,295.195,314.405,0.69,0.96,5.09585104096935,0
"Cerastoderma.glaucum",-53.75,156.75,4,2,5.43,0.11,1.44,-53.75,-53.75,145.05,289.15,317.685,0.54,0.59,3.27800655218222,0
"Cerianthus.sp.",-55.2,-26.8,6,1,25.6,0.01,9.14,-59.715,-55.2,-25.1,21,21.8,1,0.98,9.14929483361423,1
"Chaetozone.gibber",-53.75,-53.75,16,1,46.08,0.01,8.87,-59.5025,-54.375,-31.125,29.3,34.26,1,1,9.43534982407678,1
"Corbula.gibba",-26.8,28.35,22,1,43.17,0.01,9.35,-26.8,-21.2,27.6,48.85,50.3,1,1,10.3627541492225,1
"Corophium.multisetosum",394.9,168.45,10,2,17.75,0.01,4.15,52.7,148.765,194.375,394.9,397.47,0.99,0.89,5.17073082232307,0
"Corophium.urdaibaiense",19.3,19.3,5,2,5.95,0.25,1.06,18.465,19.29,80.4,343.12,348.4,0.76,0.36,2.21779477562583,0
"Corophium.volutator",101.8,100.7,7,2,8.36,0.08,1.73,-0.0399999999999994,23.31,100.7,213.07,278.57,0.76,0.51,2.47294619849117,0
