"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Abarenicola.claparedi",2.92471399435,2.92471399435,5,2,7.27,0.11,1.64,1.49733259737,1.661277020735,2.92471399435,3.266776422785,3.31137279075,0.84,0.51,2.33718382443636,0
"Abra.alba",3.29844278335,3.23008654935,13,1,11.75,0.2,0.93,1.904778824,1.9309018408,2.7138802059,3.10756978874,3.29844278335,0.74,0.48,1.98678295477633,0
"Abra.prismatica",2.908562703,2.908562703,4,2,7.27,0.03,2.56,2.70295032135,2.819081010925,2.903992521475,3.010980014625,3.0348508274,0.89,0.53,2.49960162435243,0
"Abyssoninoe.hibernica",2.700605604,2.700605604,4,2,6.15,0.03,2.2,2.4847792857,2.59450338807,2.700605604,3.10759854393,3.2733588884,0.85,0.41,2.23807068992386,0
"Alkmaria.romijni",2.0565502807,2.1756230927,46,2,47.04,0.01,4.06,1.9979881806,2.0265041081,2.17706629245,2.83331531927,3.29974294287,0.96,0.99,4.36848510561723,2
"Allomelita.pellucida",3.2440082907,2.534539919,5,2,5.31,0.3,0.88,1.590449726155,2.11576419994,3.081964614475,3.35756167812,3.5535191457375,0.74,0.41,1.81089964571746,0
"Aonides.oxycephala",2.1619522467,2.1619522467,8,1,13.72,0.01,3.53,1.90792529515,2.053129503915,2.169509269575,2.8110553474,3.0277471359,0.96,0.72,3.92805790087316,0
"Aphelochaeta.sp.",3.8486565451,3.84290268815,4,2,27.46,0.02,5.53,1.253323062235,1.28514224297,3.8038434256,3.8486565451,3.8796449161,0.77,0.77,6.20359527725156,0
"Armandia.cirrhosa",2.0565502807,2.09863777215,8,1,11.23,0.02,2.51,1.8979614892725,1.98953062974,2.09863777215,2.7245495663,2.9715006202575,0.88,0.66,3.0289864377255,0
"Asbjornsenia.pygmaea",1.35143242505,2.09863777215,5,1,15.62,0.01,7.57,1.35143242505,1.35452220128,2.01224614435,2.16605522685,2.17575608172,1,1,8.19386883010523,1
"Capitella.capitata",1.84185325285,2.8575354668,67,2,53.55,0.01,3.14,1.66234996285,1.81491797242,2.7245495663,2.977917936785,3.2644389396375,0.99,0.97,3.43123815027001,2
"Carcinus.maenas",3.4764593837,3.4764593837,15,2,18.21,0.05,1.91,1.904778824,1.92104081835,2.56851953585,3.57201456944,3.61384158495,0.85,0.88,3.51506667170789,0
"Cerastoderma.edule",1.944017364,1.944017364,8,1,13.65,0.01,4.4,1.218484305445,1.35143242505,1.9826108154,2.9705788042,2.9927938084275,0.99,0.89,4.63529048558204,0
"Cerastoderma.glaucum",1.0233170983,1.0233170983,4,1,13.69,0.07,2.98,1.0233170983,1.0233170983,1.95339905245,2.8575354668,2.901740170935,0.9,0.63,3.51103832250247,0
"Cerianthus.sp.",3.8486565451,3.2440082907,6,2,10.67,0.01,2.93,2.088616335035,2.1948811433,3.2733588884,3.8362567406,3.84594793474,0.88,0.72,4.25100521413652,0
"Chaetozone.gibber",2.81274769285,2.7378648034,16,2,16.5,0.02,2.5,2.70415414558,2.7138802059,2.81959667455,3.49187101342,3.55233158095,0.82,0.59,2.47732376047001,0
