"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Abarenicola.claparedi",2.7904284355538,2.68613370872352,5,2,18.11,0.01,7.79,0.473377398677534,2.09909143053005,2.68292271869514,3.47844380656781,3.93609702976308,0.98,0.92,7.51613281936705,0
"Abra.alba",2.7904284355538,2.1303225598373,13,2,44.83,0.01,14.33,1.91545626097207,2.01813321798433,2.19967852155964,2.80843606604237,3.39122500139127,1,1,13.7106885818624,2
"Abra.prismatica",2.7904284355538,2.7904284355538,4,2,19.05,0.01,9.44,1.99932086691355,2.20556818239309,2.58985586433338,2.98739698271283,3.00330347792432,0.98,0.92,8.84731738095112,0
"Abyssoninoe.hibernica",2.32171166795675,2.1303225598373,4,2,13.79,0.01,7.09,1.93863609917991,2.01858712644376,2.31761690470047,3.05628418099676,3.1740007196665,1,0.95,8.19865131169667,2
"Alkmaria.romijni",0.310975609756098,0.225609756097561,46,2,47.17,0.01,4.82,0.129146619717597,0.176829268292683,0.379028994085834,0.561984787084959,0.64450302538184,0.96,0.99,4.72252617557792,2
"Allomelita.pellucida",4.86247666459241,4.2599719342713,5,2,13.77,0.02,2.64,0,0.0867098213608148,2.26903448328198,5,5,0.57,0.74,3.91055068444367,0
"Aonides.oxycephala",2.20556818239309,2.1303225598373,8,2,23.15,0.01,8.43,1.04539211073505,1.12143360349285,2.20556818239309,3.17834644922367,3.35989350137356,1,1,9.3201435808099,2
"Aphelochaeta.sp.",4.56979373776314,3.33807788334573,4,2,12.19,0.01,9.04,0.475216342627023,0.498069927805687,3.91284003925914,4.56979373776314,4.70731707317073,0.98,0.73,6.37110923760881,0
"Armandia.cirrhosa",2.20556818239309,2.1303225598373,8,2,23.59,0.01,8.2,1.05054196326033,1.12143360349285,2.1303225598373,2.59884145076672,2.92457401023722,1,0.99,9.2056955543331,2
"Asbjornsenia.pygmaea",0,0,5,1,12.54,0.02,4.35,0,0,0,3.93492210147677,4.02683824831403,0.7,0.72,4.65490696974402,0
"Capitella.capitata",2.68613370872352,1.57520325203252,67,2,79.57,0.01,6.73,0.444817073170732,0.637275436226671,1.90091463414634,2.69592098340087,2.78490683702147,1,1,7.12478505142669,2
"Carcinus.maenas",4.86247666459241,0.428861788617886,15,2,13.86,0.04,2.47,0.0249922847703897,0.310975609756098,0.739837398373984,3.74253387112278,4.71507505274182,0.9,0.81,3.61955272407114,0
"Cerastoderma.edule",4.86247666459241,0.215447154471545,8,1,10.58,0.04,2.31,0,0,0.215447154471545,4.72495332918482,4.86935283136279,0.74,0.79,3.99864871152343,0
"Cerastoderma.glaucum",4.86247666459241,4.86247666459241,4,2,17.73,0.1,2.6,0,0,3.6907283809148,5,5,0.59,0.54,3.91533211794335,0
"Cerianthus.sp.",2.20556818239309,1.64634146341463,6,2,17.14,0.01,8.05,1.57401510667254,1.789513105772,2.14210188150419,3.89011584227541,4.08634606725657,1,0.97,9.54194983338056,2
"Chaetozone.gibber",2.1303225598373,2.58985586433338,16,2,42.17,0.01,9.95,1.90258175613803,1.93863609917991,2.1303225598373,2.68613370872352,2.69864338438033,1,1,11.4895848322384,2
"Corbula.gibba",2.68613370872352,2.68613370872352,22,2,73.9,0.01,16.33,1.88818597560976,1.93863609917991,2.1303225598373,2.68613370872352,2.78432755449988,1,1,16.4095997112245,2
"Corophium.multisetosum",0,0,10,1,26.48,0.01,6.06,0,0,0.201219512195122,0.305628576198643,0.379028994085834,1,0.99,5.89148597586965,1
"Corophium.urdaibaiense",1.04068582067277,1.04539211073505,5,1,6.76,0.03,2.35,0.153048780487805,0.222967479674797,1.00389524235939,1.06537177288388,1.12526244428592,0.76,0.27,1.96140675563174,0
"Corophium.volutator",0.839430894308943,0.882113821138211,7,1,10.61,0.02,3.78,0.307067909198071,0.471692063684794,0.612190189263436,0.938040382270656,0.977743902439024,0.92,0.78,3.347550036131,0
"Cossura.sp.",2.1303225598373,2.1303225598373,8,2,27.59,0.01,9.11,1.61636178861789,1.81252852105372,2.1135419670547,2.50898558643334,2.81472759073616,1,1,10.3657025042889,2
"Crassostrea.gigas",0,0.640243902439024,5,1,8.06,0.03,3.76,0,0,0.247049240871998,0.636982004543132,0.696046513981008,1,0.78,4.28864194916973,0
"Cyathura.carinata",4.86247666459241,0,81,2,62.44,0.02,3.44,0,0.0630351966245238,2.06286492403661,4.70731707317073,4.86935283136279,0.74,0.82,3.22826255473531,0
"Cylichna.cylindracea",2.20556818239309,1.92409447235418,7,2,18.28,0.01,8.27,1.0557418699187,1.12150898508052,2.1185432381704,2.68613370872352,2.80843606604237,1,0.98,8.070855582135,2
"Desdemona.ornata",1.04539211073505,1.02679777497837,12,2,19.53,0.01,5.26,0.489798189830063,0.495934959349593,0.922764227642276,1.04793276114155,1.0887147692261,1,1,5.89786587281882,2
"Diptera",3.8348510834206,1.04539211073505,56,1,47.59,0.01,5.16,0.222662601626016,1.04047902722338,1.07482634409418,1.38070863751575,2.00477258095932,0.97,0.98,5.60061424079153,1
"Dosinia.lupinus",2.7904284355538,2.5,5,2,14.8,0.01,6.1,1.01336382113821,1.0625,2.5,2.86573682339966,3.89531192293877,0.99,0.9,7.45692509127285,0
"Echinocardium.cordatum",2.90630881281588,2.58985586433338,4,2,17.39,0.01,8.73,2.10854069593901,2.31357761520988,2.73907852333035,3.06304809750027,3.17124255670061,0.99,0.91,9.50673785103043,0
"Euclymene.oerstedii",2.7904284355538,2.5,6,2,25,0.01,11.12,2.26903448328198,2.43309966305948,2.69415059116366,3.00330347792432,3.54550186303823,1,0.98,11.4586776721468,2
"Euglesa.casertana",0,0.473377398677534,8,1,6.65,0.23,0.82,0,0,0.379028994085834,1.89545822772322,2.27723774227086,0.64,0.4,1.98227326576336,0
"Eumida.bahusiensis",3.00330347792432,2.90630881281588,4,2,13.6,0.01,4.89,1.0274212856861,1.05081300813008,2.81317832361973,3.01121454472557,3.17988654659999,0.97,0.87,6.84085960374676,0
"Eurydice.affinis",0,0,6,1,18.65,0.01,8.44,0,0,0.00171126322339764,0.165243902439024,0.18729674796748,1,0.98,7.34701977440811,1
"Euspira.nitida",2.20556818239309,2.20556818239309,7,2,16.86,0.01,5.81,1.0418344412909,1.05741869918699,1.68343495934959,2.33954050116108,2.68645480772636,1,0.95,7.4927780428905,2
"Ficopomatus.enigmaticus",0.193089430894309,0.172764227642276,4,2,4.88,0.31,0.89,0.186991869918699,0.213211382113821,0.771803744795382,2.01858712644376,2.14489096862811,0.55,0.2,1.68054844090592,0
"Gammarus.sp.",0,0,4,1,7.06,0.14,2.26,0,0,0.164634146341463,1.05792682926829,1.12450862840925,0.94,0.48,2.95090314026985,0
"Glycera.tridactyla",4.86247666459241,4.86247666459241,7,2,38.6,0.01,5.71,0,0,4.02683824831403,4.86247666459241,5,0.66,0.81,5.31699566823479,0
"Glycera.unicornis",4.86247666459241,2.1303225598373,18,2,62.07,0.01,16.41,1.72726117886179,1.90005081300813,2.16294409999949,2.68613370872352,2.69864338438033,1,1,17.9380211726601,2
"Grandidierella.japonica",4.86247666459241,4.86247666459241,11,2,78.61,0.01,10.81,1.04061492909577,1.04539211073505,4.10530972220114,4.86247666459241,5,1,1,12.2895559510634,2
"Hediste.diversicolor",0,2.68613370872352,81,1,67.93,0.01,4.92,0.157256236688067,1.39397206580964,2.58985586433338,2.90630881281588,3.0093344713297,0.9,1,4.95286468114718,0
"Hemigrapsus.takanoi",0.439024390243902,0.439024390243902,10,2,12.43,0.02,2.86,0.240185469060665,0.304878048780488,0.434959349593496,1.09383376083294,1.61702235772358,0.8,0.73,3.3086298655511,0
"Heteromastus.filiformis",1.04539211073505,1.04539211073505,24,2,31.46,0.01,5.35,0.495793682112303,0.546544083051285,1.04134477716899,1.72764227642276,2.0105663737409,0.98,0.96,5.27868598471863,2
"Hyala.vitrea",2.1303225598373,1.92409447235418,5,2,15.62,0.01,7.4,1.57362804878049,1.69105691056911,2.10854069593901,2.34852608759442,2.94101826327652,0.97,0.94,7.97270078142403,0
"Insecta",0.455877740171303,0.455877740171303,7,2,7.46,0.2,0.64,0,0,0.474790171050435,1.72996026024355,2.21283626069381,0.51,0.28,1.31505844549062,0
"Iphinoe.tenella",2.7904284355538,2.1303225598373,8,2,23.35,0.01,8.22,1.09350431420462,1.12594087857493,2.5,3.12864075045153,3.33807788334573,1,1,9.35139211652831,2
"Kurtiella.bidentata",4.86247666459241,3.1740007196665,14,2,48.98,0.01,10.66,2.26606590640035,2.31726290214053,2.94022293851594,4.86247666459241,5,1,1,13.0485857682469,2
"Lagis.koreni",3.33807788334573,3.05338085155898,5,2,23.22,0.01,8.56,1.9020005210942,2.01858712644376,2.94817618612169,3.33807788334573,3.54072600943029,0.99,0.99,10.5033968546428,2
"Laonice.cirrata",3.33807788334573,3.05338085155898,5,2,22.87,0.01,11.41,1.92293548044379,2.09054305098123,2.92431644330445,3.38443850835521,3.53287946281765,1,0.98,10.2923303594689,2
"Lekanesphaera.hookeri",0,2.10854069593901,7,2,8.32,0.07,1.67,0,0,0.581937003253044,2.10854069593901,2.20894623560035,0.5,0.66,3.02693178435571,0
"Lekanesphaera.rugicauda",2.32171166795675,2.32171166795675,6,1,6.25,0.1,0.8,0,0,0.456174333834191,1.93122575394236,2.18897017494599,0.51,0.3,1.83582842497125,0
"Leptocheirus.pilosus",0.158536585365854,0.158536585365854,6,2,7.14,0.12,1.4,0.0800813008130081,0.110005008575288,0.41274834185803,0.607635674209885,1.12867981670638,0.3,0.65,2.68740991418915,0
"Leptosynapta.galliennii",3.1740007196665,2.90630881281588,4,2,20,0.01,11.18,2.12023117863413,2.43309966305948,3.00330347792432,3.1740007196665,3.36153690061519,0.99,0.92,10.4928546234208,0
"Loripes.orbiculatus",2.7904284355538,2.5,7,2,20.14,0.01,7.54,1.05284552845528,1.12092547341155,2.34190811540972,2.80843606604237,3.00344864439621,1,0.98,8.53609898105584,2
"Lucinella.divaricata",4.09582789472885,1.09375837924527,4,2,8.89,0.01,4,1.01422764227642,1.05081300813008,1.34828190690121,3.72106883755521,4.02731233968765,0.99,0.8,5.63496102135617,0
"Lumbrineris.lusitanica",2.90630881281588,2.20556818239309,5,2,13.94,0.01,5.82,1.0418344412909,1.05284552845528,2.16294409999949,2.90789946233703,3.06217000793024,0.99,0.9,7.16396049285382,0
"Magelona.alleni",2.7904284355538,2.5,6,2,20.29,0.01,8,1.05071138211382,1.12518706269826,2.58985586433338,2.8758080596324,3.17124255670061,1,0.98,8.84115386643181,2
