"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Abarenicola.claparedi",2.04031278909835,2.02536377891656,5,2,10.43,0.01,4.17,1.55026798675987,1.84749670717315,2.03649616847369,3.27833389097238,3.39000685137727,1,0.79,4.23460034214221,0
"Abra.alba",3.47695706503649,2.03122394661915,13,2,32.04,0.01,9.89,1.94983463388827,1.97204058388528,2.03500551614227,3.38622900808878,3.47695706503649,1,1,9.59702641653078,2
"Abra.prismatica",3.18543867961473,2.99291468038404,4,2,13.98,0.01,8.32,1.70809699937743,1.73652168235611,3.06034014726588,3.36948170828549,3.39000685137727,0.97,0.81,5.73657784205453,0
"Abyssoninoe.hibernica",1.74415933951233,1.71669232238451,4,2,7.02,0.05,2.63,1.66489404737459,1.67639378736711,1.74415933951233,1.9581231754234,2.03282211429747,0.95,0.6,3.34190793734322,0
"Alkmaria.romijni",1.90744488591391,1.91705054311289,46,1,40.17,0.01,2.79,1.20213652565383,1.22365536546272,1.90744488591391,2.02594979568682,2.22105614009357,0.72,0.97,3.58328082412719,0
"Allomelita.pellucida",3.52434514331092,3.52434514331092,5,2,19.48,0.1,2.32,1.19601609275445,1.25711244026736,3.29885903406417,3.5948823656214,3.77944205661239,0.75,0.56,3.39061510911336,0
"Aonides.oxycephala",1.93480594673092,1.91705054311289,8,2,18.6,0.01,6.22,1.82340446586139,1.86505671328714,1.92630960798198,2.0215279788947,2.03427771552734,1,0.99,6.59210794254392,2
"Aphelochaeta.sp.",3.06034014726588,3.06034014726588,4,2,14.23,0.02,4.53,1.6179619492789,1.66265098328471,2.5262379632633,3.09813573468958,3.36528410463161,0.96,0.76,5.33361995148681,0
"Armandia.cirrhosa",1.93480594673092,1.91705054311289,8,2,18.6,0.01,7.18,1.8202354115428,1.82549544439371,1.92630960798198,1.9822811020045,2.02970568732476,1,1,6.73117231998786,2
"Asbjornsenia.pygmaea",0.824939988898102,0.824939988898102,5,1,47.5,0.01,8.46,0.700710612876816,0.746303823600945,0.844135040184093,0.999085076366781,1.9136868938261,0.91,0.86,9.54450524682636,0
"Capitella.capitata",2.67255197056585,1.92269101638418,67,2,69.78,0.01,5.46,1.65702741685358,1.92269101638418,2.63134685940289,2.92831385311829,2.97566950022091,1,1,6.06484108030045,2
"Carcinus.maenas",3.52434514331092,3.52434514331092,15,2,35,0.03,2.57,1.28103210940333,1.30139780681216,1.91987077974853,3.52434514331092,3.52434514331092,0.5,0.84,3.68123578566778,0
"Cerastoderma.edule",0.795786245309951,1.13629659546498,8,1,22.66,0.01,6.74,0.785202572687994,0.795786245309951,1.10670811253017,3.0194040871337,3.39414448187754,0.89,0.99,8.91568803934762,0
"Cerastoderma.glaucum",3.52434514331092,3.22245861127944,4,2,19.12,0.01,7.26,0.980242669163565,1.13629659546498,3.24298375437122,3.52434514331092,3.52650466704194,0.66,0.87,7.15387169783965,0
"Cerianthus.sp.",2.03427771552734,2.03427771552734,6,2,16.67,0.02,6.19,1.91220388751666,1.92630960798198,2.03267954784902,2.36402692711251,2.97519438209444,1,0.94,6.68110030778245,0
"Chaetozone.gibber",3.47695706503649,2.75706162146198,16,2,36.26,0.01,7.85,1.9259477488222,1.94864119220241,2.67255197056585,3.39000685137727,3.47695706503649,1,1,9.53821096560273,2
"Corbula.gibba",2.8332956932568,1.92269101638418,22,2,49.97,0.01,10.86,1.82340874533119,1.90696898575363,1.93480594673092,2.68567616285524,2.93404362934927,1,1,12.1638101854225,2
"Corophium.multisetosum",1.42633105557051,1.42633105557051,10,1,12.69,0.03,1.91,1.04227088633813,1.12172873234379,1.42633105557051,3.05178802098946,3.22161173181464,0.93,0.69,2.79767836699477,0
"Corophium.urdaibaiense",1.18072010986138,1.18072010986138,5,1,14.94,0.02,5.14,1.1346347038841,1.13629659546498,1.18533111247977,1.67683153670246,1.69522828062785,0.98,0.85,5.59765960334767,0
"Corophium.volutator",1.44885466306659,1.47300105714449,7,1,13.73,0.01,4.75,1.2287066831199,1.26800560148971,1.45168753215216,1.58747530828055,1.63410467743921,0.99,0.91,4.91962858451328,0
"Cossura.sp.",3.47695706503649,1.92269101638418,8,2,19.05,0.01,6.42,1.90405427210148,1.91220388751666,2.03427771552734,3.38580924772339,3.47695706503649,1,0.99,8.14652361401115,2
"Crassostrea.gigas",0.795786245309951,0.795786245309951,5,1,33.98,0.01,6.74,0.66446656046725,0.698927705166928,0.84403512025432,3.473179221748,3.55012231277417,0.71,0.79,6.8608571417869,0
"Cyathura.carinata",3.52434514331092,1.91361627447803,81,1,50.47,0.01,2.88,1.05162478312908,1.08773982645179,1.93471759472428,3.59239629764959,3.71139090227371,0.5,0.99,4.02762298133366,0
"Cylichna.cylindracea",1.93480594673092,2.03427771552734,7,2,16.17,0.01,6.18,1.82523995883733,1.89636016221606,1.93480594673092,2.03885718786848,2.07968988060807,1,0.97,6.7744918091294,2
"Desdemona.ornata",1.28550136659747,1.27352173387428,12,2,13.95,0.04,2.04,1.2152254778638,1.24028719431828,1.41984769403975,2.08783268350759,2.35404624509105,0.98,0.74,2.60339242856276,0
"Diptera",2.05859307627545,2.05859307627545,56,1,55.02,0.01,6.89,1.40969000923713,1.42570456511739,1.89770799420754,2.05859307627545,2.08838096083621,1,1,7.3987973683241,1
"Dosinia.lupinus",3.18543867961473,1.89936729090875,5,2,10.87,0.01,5.22,1.90054189119636,1.91220388751666,1.98301494667504,3.18543867961473,3.39000685137727,1,0.93,6.10145573469007,0
"Echinocardium.cordatum",1.74415933951233,1.72791076618279,4,2,7.14,0.05,2.64,1.67223516868134,1.68588988589977,1.74415933951233,1.95017844169924,2.04031278909835,0.93,0.55,3.13900035078119,0
"Euclymene.oerstedii",3.47695706503649,3.38580924772339,6,2,28.19,0.01,10.88,1.74178679970382,2.0288739217107,3.15227440534894,3.39000685137727,3.47695706503649,1,0.95,9.50673475919906,2
"Euglesa.casertana",0.795786245309951,1.22417907953326,8,1,11.76,0.02,2.94,0.795273322705377,0.84091990603596,1.25554625892736,1.61347867132818,1.91925335436626,0.94,0.74,3.78297865176285,0
"Eumida.bahusiensis",1.93480594673092,1.91705054311289,4,2,9.3,0.01,3.87,1.82524423830713,1.90235402497091,1.92269101638418,3.06274748421946,3.18543867961473,0.99,0.8,4.54805523487939,0
"Eurydice.affinis",0.824939988898102,0.931831419056184,6,1,17.57,0.04,3.48,0.824939988898102,0.825119844771692,0.913644968468051,2.44859225293092,2.84311115511505,0.83,0.79,5.61024589366329,0
"Euspira.nitida",1.93480594673092,1.93480594673092,7,2,17.07,0.01,5.93,1.86148691379816,1.90268588431115,1.92269101638418,2.02195417889713,3.27833389097238,0.99,0.99,6.14237440026975,2
"Ficopomatus.enigmaticus",3.52434514331092,3.52434514331092,4,2,18.8,0.12,2.35,1.36926981585135,1.47300105714449,3.18545066154775,3.56753561793146,3.59239629764959,0.92,0.4,3.23320403296086,0
"Gammarus.sp.",2.52121172823506,2.43255476428056,4,2,6.67,0.18,1.62,1.00756432441183,1.05338640732709,2.38873803519719,2.52121172823506,2.52121172823506,0.65,0.44,3.37728181407084,0
"Glycera.tridactyla",3.52434514331092,3.52434514331092,7,2,38.58,0.01,6,0.875145725653217,0.905621816958652,3.18542669768171,3.61725697736772,3.75458137689425,0.53,0.97,9.13357562796822,0
"Glycera.unicornis",3.47695706503649,2.03122394661915,18,2,38.97,0.01,11.72,1.73012260723914,1.90402539567499,1.95017844169924,2.67255197056585,2.98347653919314,1,1,12.5681656908696,2
"Grandidierella.japonica",3.52434514331092,3.47695706503649,11,2,48.84,0.01,11.48,2.05667398167623,2.36015996139688,3.41160208868754,3.75458137689425,3.77944205661239,1,0.97,9.61699581200639,2
"Hediste.diversicolor",0.97413883621411,0.989946586288442,81,2,67.07,0.01,3.64,0.956428794329503,0.967719641023949,1.00756432441183,3.19056119677852,3.27936014812697,0.79,0.94,4.07016303746112,0
"Hemigrapsus.takanoi",1.93480594673092,1.95017844169924,10,1,10.2,0.08,1.52,1.2333618894093,1.36334728732331,1.91291008099734,2.0215279788947,2.03319664803751,0.66,0.53,2.52845086669809,0
"Heteromastus.filiformis",2.05859307627545,2.05859307627545,24,2,22.44,0.06,1.76,0.875145725653217,0.989946586288442,2.05137482154884,3.1863678506394,3.39000685137727,0.82,0.76,3.10927518283945,0
"Hyala.vitrea",2.03427771552734,1.93480594673092,5,2,12.2,0.01,5.54,1.93066144411199,1.9431402672269,2.03267954784902,2.35243807176413,2.98510764141181,1,0.94,6.19478533727999,0
"Insecta",1.29941722408109,1.30537922789954,7,1,13.05,0.02,3.5,1.2150396548156,1.24028719431828,1.30127290725227,1.7305413306452,1.93514975454189,0.98,0.74,3.69782370799578,0
"Iphinoe.tenella",1.93480594673092,1.91705054311289,8,2,18.6,0.01,6.28,1.82038573326611,1.90268588431115,1.92630960798198,2.0558698490561,3.47695706503649,1,0.98,6.84183327679196,2
"Kurtiella.bidentata",3.47695706503649,3.47695706503649,14,2,55.64,0.01,6.8,1.74124586683171,1.9259477488222,3.18586211934712,3.59239629764959,3.75458137689425,0.96,1,9.48272441038846,2
"Lagis.koreni",3.52434514331092,1.95017844169924,5,2,12.5,0.01,5.05,1.87284032001287,1.9041262925115,1.94593027232477,3.39054805555083,3.56753561793146,1,0.89,5.20474165358259,0
"Laonice.cirrata",1.95017844169924,1.95017844169924,5,2,12.5,0.01,5.41,1.8253408432006,1.86505671328714,1.9398728071514,3.38580924772339,3.5981361476981,0.98,0.9,5.3233426886154,0
"Lekanesphaera.hookeri",1.55481343896359,1.51538535503063,7,2,10.29,0.03,2.75,1.42633105557051,1.42955234694407,1.55481343896359,1.75794379691491,1.91244622029647,0.97,0.79,3.5017318775235,0
"Lekanesphaera.rugicauda",1.24028719431828,2.12027046573584,6,1,6.74,0.31,1.06,1.22915436320337,1.25829186818499,1.67714094890024,1.94398990110179,2.02565678730169,0.33,0.32,1.88795762407256,0
"Leptocheirus.pilosus",1.32326059890474,1.30778655088088,6,2,7.41,0.14,1.91,1.30121965199505,1.30710450673462,1.42003963305277,1.99654254747842,2.0590870188402,0.78,0.34,2.03740883930366,0
"Leptosynapta.galliennii",3.52434514331092,1.71669232238451,4,2,7.02,0.05,2.85,1.63469013816109,1.67639378736711,1.9181536454311,3.57002168590327,3.71355042600474,0.97,0.67,4.01340522080198,0
"Loripes.orbiculatus",1.93480594673092,2.03122394661915,7,2,12.81,0.01,4.49,1.71683345141125,1.7364243564544,1.96487215141948,3.18543867961473,3.39000685137727,1,0.94,5.85759147096643,0
"Lucinella.divaricata",1.93480594673092,1.93480594673092,4,2,9.76,0.01,4.26,1.8611740178785,1.9052533999567,1.93017641429637,2.05859307627545,2.0761079334526,0.96,0.73,4.53271565297035,0
"Lumbrineris.lusitanica",1.93480594673092,1.91705054311289,5,2,11.63,0.01,4.94,1.81737929879998,1.8647248539469,1.92630960798198,1.94168210295031,2.04920816754531,0.99,0.83,4.92791355265419,0
"Magelona.alleni",3.47695706503649,1.72791076618279,6,2,10.71,0.01,4.47,1.68521809377223,1.70535467954102,1.80389426919023,3.38622900808878,3.47695706503649,1,0.9,5.04843340849198,0
"Malacoceros.fuliginosus",2.87113786492227,2.38873803519719,5,2,18.52,0.01,7.95,2.103318813983,2.36915775903694,2.85221677908954,3.15183898368352,3.15183898368352,0.99,0.96,9.97051039796528,2
"Malacoceros.sp.",0.84403512025432,0.84403512025432,7,1,16.17,0.01,4.43,0.84403512025432,0.844234960113865,0.979642375638995,2.03442327565032,2.04508335961655,0.75,0.63,3.01263208958994,0
"Maldanidae",1.93480594673092,1.92269101638418,4,2,9.52,0.02,4.32,1.82524423830713,1.90235402497091,1.93299665093202,2.8332956932568,2.9669764463342,1,0.78,4.70391176409076,0
"Manayunkia.aestuarina",1.77685262166597,1.77685262166597,8,1,11.76,0.03,3.16,1.20630106918295,1.30262350911457,1.77644567275337,1.82078052504835,1.86564730637891,0.97,0.78,3.24427364592391,0
"Mediomastus.fragilis",1.93480594673092,1.93480594673092,24,2,39.41,0.01,6.05,1.63222092990148,1.68504593341959,1.92630960798198,2.11830103840732,3.24298375437122,1,1,7.0596338607888,2
"Melinna.palmata",2.97519438209444,2.97519438209444,4,2,19.03,0.01,6.86,2.05790803553366,2.08743291163308,2.80379389345973,2.9846967446238,3.39000685137727,1,0.92,8.70184505851038,0
"Melita.palmata",1.30537922789954,1.26811613114508,19,2,16.47,0.05,2.04,1.294159932153,1.30519365958243,1.79610711660025,3.27833389097238,3.39273604250277,0.66,0.8,2.95092580882367,0
"Monocorophium.acherusicum",3.52434514331092,3.06034014726588,4,2,22.24,0.01,8.15,2.09867971883847,2.2361038586391,2.97108541421432,3.59239629764959,3.75458137689425,0.98,0.94,9.65596021896272,0
"Myosotella.myosotis",0.795786245309951,1.18072010986138,4,1,12.09,0.02,4.9,0.795786245309951,0.824939988898102,1.15773582878076,1.66265098328471,1.66570470766438,0.97,0.79,5.97147772958256,0
"Neanthes.caudata",2.87113786492227,2.37687964866969,6,2,17.48,0.01,7.55,2.03573331675721,2.05045374133857,2.5935694805045,2.98354076053159,3.15183898368352,1,1,8.76678698100488,2
"Nematoda",3.52434514331092,3.27833389097238,39,1,32.61,0.25,0.66,0.749869639020721,0.795786245309951,1.64946697231724,2.93239551357561,3.08488983312145,0.55,0.41,1.50071163971851,0
"NEMERTEA",3.52434514331092,1.95017844169924,26,2,28.46,0.01,4.12,1.30607331003055,1.32326059890474,2.03282211429747,3.75458137689425,3.77944205661239,0.97,0.98,5.46592104854306,2
"Nephtys.cirrosa",0.824939988898102,0.97413883621411,8,1,24.17,0.01,6.98,0.619459247954934,0.709473872979566,0.86019925338901,1.67322352474249,1.81546249589781,0.99,0.97,7.52286311391842,1
"Nephtys.hombergii",3.52434514331092,3.52434514331092,17,2,35.71,0.07,2.17,0.962847989519664,1.26282706581695,3.20483584771508,3.75458137689425,3.77944205661239,0.8,0.78,3.70254072126616,0
"Notomastus.latericeus",3.47695706503649,3.27833389097238,12,2,44.76,0.01,12.76,1.74388804870734,1.81156678741825,3.20478354297886,3.61725697736772,3.75582441088016,1,1,9.26503432234579,2
"Nucula.sulcata",1.93480594673092,1.93480594673092,7,2,17.07,0.01,6.19,1.82549544439371,1.87285458557046,1.92450031218308,1.95727077541855,2.02962577894084,1,0.97,6.08391822343155,2
"Oligochaeta",0.931831419056184,0.979642375638995,98,2,76.42,0.01,2.65,0.931807185095759,0.956428794329503,0.997892001682982,2.3861916978505,2.41604930697525,0.68,0.99,3.24076840724992,0
"Ophiodromus.flexuosus",3.47695706503649,2.8332956932568,16,2,41.68,0.01,9.77,1.75725457404478,1.90202216563067,2.2513021703876,3.38580924772339,3.39435436206023,1,1,10.4806706147526,2
"Ophryotrocha.sp.",1.95017844169924,1.95017844169924,10,2,25,0.01,8.03,1.90268588431115,1.91220388751666,1.95017844169924,2.71795275664371,2.97560527888245,1,1,8.45390922102056,2
"Paradoneis.armata",2.05859307627545,2.04031278909835,10,2,16.47,0.01,3.91,1.56404869113445,1.77139910281396,2.007220983661,2.35411004049141,2.80405887152479,0.98,0.95,4.97329150200038,2
"Paragnathia.formica",1.18567424829668,1.18567424829668,9,1,13.78,0.04,2.74,0.795273322705377,1.10707044794392,1.35112848578755,3.28908142664749,3.54920582302905,0.83,0.82,4.23520007526077,0
"Pariambus.typicus",1.93480594673092,1.93480594673092,4,2,9.76,0.02,3.91,1.82011495274248,1.8647248539469,1.92630960798198,1.9459807671158,2.08812674013508,0.99,0.69,4.16107668675647,0
"Peringia.ulvae",1.18072010986138,1.24028719431828,79,1,68.99,0.01,4.15,1.1954948518972,1.20363034601357,1.34700275104675,2.42899693880417,3.25171266313373,0.93,0.95,5.23260595242169,0
"Phoronis.sp.",3.52434514331092,3.47695706503649,4,2,16.66,0.01,32.07,0.912003583434037,0.931831419056184,2.9846967446238,3.71139090227371,3.77944205661239,0.77,0.81,6.95663369528654,0
"Phyllodoce.lineata",3.47695706503649,1.89936729090875,8,2,12.2,0.01,3.66,0.86281437161104,1.61079454969258,1.94168210295031,3.47695706503649,3.48148599268124,0.92,0.91,5.40052154974422,0
"Phyllodoce.mucosa",3.47695706503649,3.38580924772339,4,2,28.25,0.01,7.02,1.68088955976831,1.78852612528561,3.29885903406417,3.5472609592308,3.61725697736772,0.91,0.77,8.06575583095729,0
"Phyllodocidae",2.04031278909835,2.04031278909835,5,2,14.29,0.01,6.16,1.93420020021358,1.95017844169924,2.06387285036571,2.83412973044364,3.15532881928338,1,0.96,6.96887857229379,2
"Pilargis.verrucosa",3.18543867961473,2.75706162146198,4,2,14.22,0.01,7.35,1.94880407043349,1.95705459791863,2.59964542981785,3.18543867961473,3.18724733222472,0.99,0.92,6.97545137660147,0
"Podarkeopsis.capensis",1.95017844169924,1.95017844169924,5,2,12.5,0.01,4.77,1.91070744111702,1.91543596798417,1.94674036358955,3.48115466869037,3.70740317880253,1,0.88,4.95255608328408,0
"Podarkeopsis.sp.",2.8332956932568,2.75706162146198,4,2,14.25,0.01,8.28,1.95017844169924,1.98881677278594,2.5367880487883,3.18543867961473,3.18724733222472,0.99,0.9,6.86188829257409,0
"Polycirrus.sp.",3.52434514331092,3.52434514331092,9,2,35.11,0.01,8.39,1.72222894514021,1.74415933951233,2.13904430823236,3.71570994973577,3.75458137689425,1,1,6.88335607398158,2
"Polydora.ciliata",3.47695706503649,3.47695706503649,6,2,33.25,0.01,14.47,1.80792918169446,2.07104134860497,3.18586211934713,3.47695706503649,3.48310431223871,1,0.95,8.59931107445282,2
"Polydora.cornuta",3.52434514331092,2.67255197056585,21,2,49.16,0.01,8.28,2.38497744099402,2.41772258613028,2.63477459166746,3.52434514331092,3.55012231277417,1,1,10.2456205350234,2
"Polydora.sp.",2.99291468038404,2.75706162146198,4,2,21.05,0.01,10.94,2.4101361184167,2.49853724843178,2.97108541421432,3.08441591318829,3.19545720802016,0.98,0.96,12.5494626602687,2
"Prionospio.fallax",3.47695706503649,1.92269101638418,13,2,23.68,0.01,4.81,1.90720693583377,1.91361627447803,1.94168210295031,3.47695706503649,3.47695706503649,1,1,6.64891868089502,2
"Pseudopolydora.paucibranchiata",3.38580924772339,3.47695706503649,27,2,49.26,0.01,8.42,1.72759081242695,1.92269101638418,2.9669764463342,3.38622900808878,3.47296934156531,1,1,8.07344771450645,2
"Pygospio.elegans",0.863958976045419,0.979642375638995,10,1,20.38,0.03,4.19,0.844234960113865,0.863958976045419,1.18072010986138,1.6169529132612,1.7255442069919,1,1,6.51847880651217,1
"Ruditapes.decussatus",3.22245861127944,3.22245861127944,15,2,39.73,0.01,6.26,0.844224968120888,0.861869607036206,3.18586211934713,3.48505395578704,3.52434514331092,0.6,1,6.99511333591916,0
"Ruditapes.philippinarum",3.52434514331092,3.27833389097238,11,2,47.89,0.01,12.05,0.968319934548519,0.997134090529032,3.18710847467828,3.47737682540188,3.52434514331092,0.87,0.99,10.258646339806,0
"Ruditapes.sp.",0.989946586288442,1.13629659546498,14,1,21.97,0.02,4.11,0.862772935389296,0.988410654887018,1.19114492700634,2.99386491663698,3.18543987780803,0.73,0.94,5.55299731983546,0
"Scolelepis.squamata",0.824939988898102,0.84403512025432,6,1,40.36,0.01,10.33,0.711842678901267,0.776108008250056,0.86019925338901,1.63215805477357,1.66022233671755,1,0.93,8.50522477447992,0
"Scoloplos.typicus",0.824939988898102,1.00756432441183,4,1,19.47,0.01,9.66,0.813088476963305,0.824939988898102,0.97413883621411,1.04547585841058,1.1106271945747,0.95,0.84,10.0828900991686,0
"Scrobicularia.plana",3.52434514331092,1.16467341791049,65,2,47.01,0.04,2.24,1.11595297460791,1.12113276192758,1.91735529046894,3.52014753965704,3.52434514331092,0.5,0.9,3.41548132797778,0
"Solen.marginatus",3.52434514331092,3.15183898368352,4,2,23.84,0.01,12.09,2.41811897566212,2.46692268533921,3.27833389097238,3.75458137689425,3.77944205661239,0.99,0.96,12.8587991600333,2
"Spio.decoratus",1.93480594673092,1.92269101638418,6,2,10.93,0.02,4.19,1.3303691774063,1.46550039088875,1.92269101638418,1.95047647054936,2.05921660277301,0.96,0.71,3.81360866799554,0
"Spiochaetopterus.costarum",1.93480594673092,1.92269101638418,9,2,18.96,0.01,5.28,1.73001201518632,1.74194749845599,1.92630960798198,3.24577814399246,3.39435436206023,1,0.98,5.90378553689104,2
"Sternaspis.scutata",1.74415933951233,1.71669232238451,5,2,8.77,0.04,3.08,1.66807654999556,1.67639378736711,1.74415933951233,2.07062665977522,3.52650466704194,0.98,0.78,3.85095063673392,0
"Streblospio.shrubsolii",1.18567424829668,1.19114492700634,78,2,67.03,0.01,3.45,1.18036087210706,1.1841113680163,1.19627246989908,1.93480594673092,1.94176311207678,0.78,0.97,3.41438044056035,0
"Tapes.sp.",3.52434514331092,3.22245861127944,15,2,41.45,0.01,6.71,0.84059468550548,0.905621816958652,3.27833389097238,3.59239629764959,3.71355042600474,0.73,1,9.21506656919974,0
"Tellimya.ferruginosa",1.74415933951233,1.71669232238451,4,2,7.02,0.03,2.87,1.66807654999556,1.67639378736711,1.74415933951233,1.93480594673092,1.934968824962,0.97,0.63,3.28331919796961,0
"Tharyx.killariensis",1.74415933951233,1.74415933951233,5,2,7.38,0.07,1.81,1.42601648444462,1.42893150840844,1.73873352341245,2.02962577894084,2.03282211429747,0.96,0.6,2.52751897712408,0
"Theora.lubrica",3.18543867961473,2.8332956932568,13,2,32.96,0.01,8.43,1.91705054311289,1.93773775489034,2.13870395978955,3.18626159521348,3.39000685137727,1,1,8.91634756173651,2
"Thyasira.flexuosa",1.93480594673092,1.93480594673092,7,2,13.86,0.01,3.93,1.69371025257001,1.711242727233,1.91502866143941,2.88691429475967,3.47695706503649,1,0.98,4.70273140630048,2
"Tritia.nitida",3.47695706503649,3.47695706503649,8,2,47.98,0.01,8.77,1.57780087213655,2.03094330673971,3.27833389097238,3.52866419077297,3.62175379343033,1,0.96,9.46821840696329,2
"Tritia.pygmaea",3.47695706503649,1.93480594673092,13,2,28.76,0.01,8.32,1.73342896535401,1.79475196217378,1.93290829892538,3.47695706503649,3.52650466704194,1,1,9.09252666224055,2
"Tritia.reticulata",1.93480594673092,1.93480594673092,11,2,21.24,0.01,5.52,1.6799829912547,1.7364243564544,1.91916458626785,1.94168210295031,2.03129672668065,0.97,0.98,6.51647126336034,2
"Tubulanus.polymorphus",3.52434514331092,1.93480594673092,22,2,37.57,0.01,8.85,1.895673698583,1.91172798735638,1.94168210295031,3.71139090227371,3.77944205661239,0.98,1,8.97859475276961,2
"Upogebia.pusilla",1.32326059890474,1.32326059890474,4,1,7.38,0.06,2.31,1.05162478312908,1.26899828719534,1.33818300711844,1.86505671328714,1.90744488591391,0.91,0.56,2.613028250699,0
