"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Abarenicola.claparedi",3.78,3.78,5,2,14.76,0.02,4.88,2.9,2.925,3.765625,3.93375,3.95,0.95,0.78,5.48163182262716,0
"Abra.alba",4.365625,4.365625,13,2,32.06,0.03,3.8,2.21525,2.4725,3.1275,4.365625,4.36565625,0.98,0.95,4.00007303971598,2
"Abra.prismatica",4.365625,3.2375,4,2,9.09,0.01,3.6,3.236875,3.25,3.5,4.38075,4.4,0.99,0.82,5.87952053816243,0
"Abyssoninoe.hibernica",3.6025,3.5675,4,2,9.46,0.03,3.61,3.095,3.1125,3.52375,3.73875,3.751875,0.94,0.71,4.27466463356814,0
"Alkmaria.romijni",0.65,2.15,46,2,38.52,0.02,3.05,0.839,1.05,2.45,3.655,3.92775,0.82,0.78,2.97008349236482,0
"Allomelita.pellucida",3.27625,3.11875,5,1,5.94,0.22,1.19,1.0935,1.1,2.955,3.277875,3.34625,0.76,0.4,1.88043415952966,0
"Aonides.oxycephala",2.75,2.6725,8,2,8.28,0.12,1.41,1.235,2.36425,3.0925,3.175,3.2339375,0.49,0.5,2.29582618398734,0
"Aphelochaeta.sp.",3.9275,3.125,4,2,4.64,0.12,1,3.0925,3.12425,3.235625,3.91,3.9275,0.81,0.38,2.52485732465901,0
"Armandia.cirrhosa",2.75,2.5475,8,2,8.78,0.08,1.86,1.27325,1.98125,2.875,3.175,3.2915625,0.72,0.49,2.33728066122599,0
"Asbjornsenia.pygmaea",0.515,0.545,5,1,29.74,0.02,6.24,0.485,0.5,1.0025,2.7725,2.80125,1,0.92,7.49646966440969,0
"Capitella.capitata",4.33,3.175,67,2,71.48,0.01,5.91,3.1,3.125,3.235625,3.5495,3.6375,1,1,6.46703464567139,2
"Carcinus.maenas",1,2.29,15,2,14.35,0.02,2.63,1.4895,1.946,2.75,3.90275,3.988125,0.94,0.76,3.04831381025418,0
"Cerastoderma.edule",1.88,2.475,8,1,8.8,0.05,2.38,0.82,0.84,1.905,3.1255,3.775,0.86,0.68,2.84776286722128,0
"Cerastoderma.glaucum",1.5,1.5,4,1,5.73,0.12,1.41,0.89,0.9125,1.85,3.27125,3.34625,0.74,0.38,2.17991551041348,0
"Cerianthus.sp.",4.33,3.52375,6,2,11.84,0.01,4.46,2.49875,2.6725,3.528125,3.91175,4.30853125,0.99,0.8,4.37198602368395,0
"Chaetozone.gibber",4.33,4.365625,16,2,36.84,0.01,7.22,2.746125,3.0825,4.013125,4.3226875,4.33,1,0.98,7.58714384806647,2
"Corbula.gibba",4.33,4.365625,22,2,70.79,0.01,9.73,2.592625,2.875,4.170625,4.3445625,4.351875,1,0.98,8.60041623108885,2
"Corophium.multisetosum",0.84,1.095,10,1,18.75,0.01,3.99,0.84,0.89,1.1,3.113125,3.4831875,0.96,0.89,4.81706828066062,0
"Corophium.urdaibaiense",1.49,2.7725,5,2,4.81,0.25,0.69,1.92025,2.475,3.1875,3.63775,3.78,0.78,0.31,2.08638855581944,0
"Corophium.volutator",3.73875,3.10625,7,2,6.01,0.2,0.73,1.16975,1.275,3.10625,3.28325,3.450625,0.66,0.4,2.06391717096832,0
"Cossura.sp.",4.33,4.33,8,2,26.82,0.03,4.52,2.92375,2.99925,3.125,4.33,4.34375,1,0.97,4.78752945022323,2
"Crassostrea.gigas",0.545,0.545,5,1,48.68,0.01,10.55,0.48425,0.527,0.8,0.9955,3.8019375,0.94,0.98,12.0096659017856,0
"Cyathura.carinata",4.308125,1.975,81,2,53.81,0.01,4.58,0.838,1.2155,2.15,4.0831875,4.30853125,0.83,1,4.69789932975724,0
"Cylichna.cylindracea",2.75,2.5475,7,2,7.55,0.1,1.71,2.011,2.25,2.81125,3.401875,3.54925,0.74,0.34,1.89107620594608,0
"Desdemona.ornata",1,1.555,12,2,10.62,0.14,1.19,1.5865,1.74,2.75,4.1165625,4.25478125,0.51,0.5,2.23366153389621,0
