"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Abarenicola.claparedi",3.95,3.775,6,2,8.84,0.036,2.42,2.8225,2.875,3.499375,3.93375,3.95,0.958,0.81,3.50115342189608,0
"Abra.alba",4.365625,4.365625,16,2,40.18,0.004,6.82,1.987,2.4475,4.308125,4.4,4.408125,0.996,0.972,5.11209982629916,2
"Abra.prismatica",4.39375,3.76375,4,2,8.61,0.02,4.13,3.255,3.30875,3.65,4.39375,4.4175,0.976,0.888,5.82641118119647,0
"Abyssoninoe.hibernica",3.60875,3.60875,5,2,8.24,0.032,2.97,2.925,2.9925,3.52375,3.750125,3.76375,0.982,0.764,3.72588821268185,0
"Alkmaria.romijni",2.175,2.175,53,2,38.03,0.004,3.22,1.095,2.075,2.34,3.22625,3.442875,0.984,0.97,4.05832967519159,2
"Allomelita.pellucida",3.10625,3.125,7,1,6.86,0.1,1.88,1.64,1.7,3.1,3.2925,3.325,0.924,0.618,2.51544623811421,0
"Aonides.oxycephala",3.145,3.145,11,1,9.11,0.092,1.74,1.23475,1.794,2.95875,3.175,3.175625,0.53,0.606,2.24943753942247,0
"Aphelochaeta.sp.",4.39375,3.905,5,2,10.52,0.012,3.35,1.8495,3.125,3.905,4.408125,4.4175,0.882,0.752,3.81403760666333,0
"Aricidea.suecica.meridionalis",3.60875,3.025,4,2,5.19,0.06,2.21,2.89875,2.97425,3.1125,3.67625,3.775,0.946,0.572,2.86813915670461,0
"Armandia.cirrhosa",2.075,2.05,10,2,8.05,0.096,1.58,1.77025,2.0425,2.75,3.221625,4.308125,0.728,0.692,2.59842765859796,0
"Asbjornsenia.pygmaea",0.485,0.545,5,1,22.18,0.012,5.28,0.46475,0.485,0.82,1.501,2.775,0.99,0.928,7.10998495070674,0
"Bathyporeia.pilosa",0.7,0.92,4,1,18.18,0.004,10.92,0.6,0.7,0.88,1.0405,1.1,0.986,0.954,10.0952995102306,1
"Capitella.capitata",4.33,3.27625,80,2,67.54,0.004,6.68,2.75,2.985,3.2375,3.52375,3.739375,1,1,6.61486034660457,2
"Carcinus.maenas",3.988125,2.29,17,2,13.56,0.032,2.59,2.0225,2.1,2.97125,3.905,3.978125,0.98,0.918,4.11785502361655,0
"Cerastoderma.edule",0.84,1.93,9,1,8.62,0.04,2.42,0.8,0.84,1.85,3.768,3.80125,0.85,0.84,3.62133654019155,0
"Cerastoderma.glaucum",1.5,1.5,4,1,4.53,0.116,1.34,0.87,0.89,1.56,3.238,3.2770625,0.708,0.39,2.01764050977216,0
"Cerianthus.sp.",4.33,3.60875,7,2,10.83,0.008,3.69,2.05,2.075,3.60875,4.025,4.31625,0.984,0.816,4.13724537934159,0
"Chaetozone.gibber",4.33,4.111875,20,2,47.9,0.004,8.14,3.2333125,3.94875,4.111875,4.351875,4.365625,1,0.98,9.32761830958797,2
"Corbula.gibba",4.33,4.365625,27,2,75.92,0.004,12.12,3.2375,4.045,4.321875,4.351875,4.365625,1,0.994,9.77657791186329,2
"Corophium.multisetosum",1.095,2.875,11,1,11.38,0.016,2.98,0.87,0.89,1.725,2.9675,3.09831249999999,0.956,0.868,4.06666364329256,0
"Corophium.urdaibaiense",3.45,3.175,6,2,5.5,0.108,1.69,1.56,2.5475,3.22125,3.57375,3.6,0.884,0.544,2.40457942003422,0
"Corophium.volutator",1.1,1.1,8,2,6.35,0.296,0.71,1.1,1.165,2.98875,3.45,3.6004375,0.544,0.34,1.62479896770639,0
"Cossura.sp.",4.33,3.1,8,2,10.96,0.004,3.98,3,3.04925,3.125,4.33,4.33,1,0.96,5.09118502761367,2
"Crassostrea.gigas",0.445,0.7,5,1,23.95,0.004,8.7,0.42,0.4835,0.7,1.03,3.95525,0.912,0.954,10.2311173481546,0
"Cyathura.carinata",4.308125,2.1,103,2,59.82,0.004,5.6,1.825,1.85,2.19,2.3,2.4275,0.974,1,6.26438617154902,2
"Cylichna.cylindracea",1.165,1.165,9,2,7.32,0.212,0.93,1.165,1.5,2.925,3.40125,3.5988125,0.604,0.378,1.83548075454391,0
"Desdemona.ornata",4.33,4.33,13,2,21.18,0.064,1.97,1.6,1.6995,3.5175,4.33,4.40853125,0.76,0.7,2.8631082920791,0
"Diogenes.pugilator",1.74,1.815,4,1,8.7,0.004,4.93,1.5,1.56,1.755,1.85,1.9005,0.99,0.812,5.02369865957982,0
"Diptera",4.308125,2.1,74,2,44.29,0.004,4.29,1.1,1.2345,2.1,2.325,3.4525,0.944,1,4.81677624160166,0
"Dosinia.lupinus",4.39375,4.39375,7,2,31.19,0.02,3.84,1.235,1.355,4.34375,4.4175,4.425625,0.744,0.774,4.2641779828719,0
"Echinocardium.cordatum",3.76375,2.875,7,2,5.62,0.14,1.17,1.525,2.0975,3.29875,3.76375,3.775,0.804,0.544,2.25572068485962,0
"Euclymene.oerstedii",4.39375,4.39375,6,2,15.37,0.06,2.44,2.595,2.7,3.4,4.41125,4.425625,0.976,0.826,3.81758940926537,0
"Euglesa.casertana",2.875,2.875,16,1,14.12,0.016,2.26,1.1,1.1,2.875,3.48875,3.5,0.962,0.876,3.03684624784539,0
"Eumida.bahusiensis",4.39375,4.365625,5,2,11.59,0.156,1.76,1.27,1.694,3.775,4.4084375,4.4175,0.728,0.5,2.62595729931347,0
"Eurydice.affinis",0.515,1.015,8,1,30.77,0.004,12.53,0.515,0.515,0.655,1.065,1.1,0.998,0.998,14.8055049371132,1
"Euspira.nitida",1.165,1.165,8,2,6.5,0.304,0.82,1.23,1.3065,2.4,3.213375,3.4125,0.532,0.39,1.92377522421071,0
"Ficopomatus.enigmaticus",0.545,0.545,5,1,11.46,0.124,1.82,0.545,0.545,1.51,3.3875,3.942625,0.514,0.688,3.6559962562926,0
"Galathowenia.oculata",2.7725,2.7725,4,1,4.27,0.188,1.01,1.24,1.405,2.7725,3.313375,3.375,0.746,0.314,1.595936759941,0
"Gammarus.chevreuxi",2.375,2.375,4,2,4.26,0.292,1.14,2.175,2.29,2.76125,3.4425,3.4625,0.688,0.282,1.69099907144249,0
"Gammarus.sp.",1.56,1.395,4,2,3.33,0.504,0.49,1.525,1.6,2.99625,3.5675,3.6125,0.452,0.192,1.60793386525602,0
"Gastropoda",3.4,3.4,5,1,4.72,0.084,1.05,1.16975,1.6315,2.75,3.40125,3.41375,0.818,0.412,1.9460935151519,0
"Glycera.convoluta",0.445,0.545,4,1,10.32,0.144,2.33,0.4,0.41,0.5925,3.3625,3.3893125,0.57,0.472,2.90349978871584,0
"Glycera.tridactyla",0.485,3.255,7,1,7,0.04,2.02,0.485,0.5,3.121875,3.325,3.35,0.814,0.592,2.37883730111371,0
"Glycera.unicornis",4.33,2.75,22,2,22.95,0.004,6.07,2.5475,2.65,3.05,4.33,4.40853125,1,1,7.39148984214967,2
"Grandidierella.japonica",3.08,3.0625,12,2,11.12,0.028,2.46,1.74,2.4225,3.075,3.48875,3.5,0.928,0.736,2.73455187148528,0
"Harpinia.pectinata",3.76375,3.73875,4,2,5.46,0.092,2.03,2.066625,2.215,3.495625,3.7675,3.775,0.826,0.48,2.43818113865081,0
"Haustorius.arenarius",0.445,0.995,4,1,12.26,0.008,5.83,0.4195,0.5,0.99,2.1,2.2,0.99,0.858,6.55296446037473,0
"Hediste.diversicolor",4.33,2.29,105,2,55.93,0.004,3.83,0.8,1.06,2.25,4.0143125,4.190625,0.856,0.998,4.34236400643085,0
"Hemigrapsus.takanoi",2.29,2.29,13,2,10.07,0.064,1.9,1.09475,2.05,3.135,3.6375,3.7500625,0.864,0.73,2.85031246768009,0
"Heteromastus.filiformis",4.33,4.33,28,2,48.75,0.008,5.11,1.85,2.075,4.2334375,4.3876875,4.4175,0.998,0.988,5.37110414050901,2
"Hippomedon.denticulatus",1.74,1.815,4,1,8.7,0.004,4.62,1.5,1.56,1.755,1.85,1.9,0.99,0.816,4.97144827878412,0
"Hyala.vitrea",4.365625,3.60875,5,2,12.09,0.004,5.39,3.125,3.13,3.763125,4.358875,4.365625,0.996,0.92,7.00953652218034,0
"Insecta",3.22125,3.20875,12,2,12.95,0.012,2.63,2.013125,2.695,3.225,3.43,3.4625,0.966,0.79,3.26362513578551,0
"Iphinoe.tenella",1.165,2.75,12,2,9.47,0.088,1.75,1.51375,2.0425,2.75,3.54775000000001,4.3940625,0.768,0.758,2.7414169487391,0
"Kurtiella.bidentata",2.925,2.875,14,2,15.22,0.004,3.86,2.7975,2.85,2.925,3.113125,3.225,0.976,0.966,4.30728285408789,2
"Lagis.koreni",2.75,2.475,6,2,6.67,0.052,2.3,2.44875,2.5225,3.015,3.60875,3.7639375,0.934,0.708,2.83753370243908,0
"Laonice.cirrata",2.75,2.75,6,2,6.98,0.044,2.35,2.45,2.5225,2.975,3.60875,3.753,0.946,0.72,2.86136328755208,0
"Lekanesphaera.hookeri",3.5675,3.59375,11,1,9.09,0.164,1.2,0.96425,0.965,3.255,3.59375,3.6,0.684,0.5,1.95912929798374,0
"Lekanesphaera.rugicauda",0.445,0.445,8,1,17.25,0.104,1.86,0.4,0.41,2.1875,3.2505,3.5485,0.684,0.538,2.44620334699789,0
"Lekanesphaera.sp.",2.475,2.6225,4,1,5.97,0.02,3.38,1,1.1,2.475,2.70225,2.7725,0.976,0.738,3.55680195421497,0
"Leptocheirus.pilosus",2.34,2.1,8,2,6.29,0.148,1.4,2.075,2.175,2.75,3.8865,4,0.67,0.534,2.32224269983499,0
"Leptognathiidae",2.75,2.7975,4,1,5.63,0.004,2.84,0.8,0.9,2.76125,2.85,2.925,0.97,0.64,2.98406832928009,0
"Leptosynapta.galliennii",3.76375,3.10625,4,2,5.56,0.044,2.66,3.075,3.1,3.2,3.76375,3.775,0.972,0.668,3.76224978877259,0
"Loripes.orbiculatus",4.365625,4.365625,7,2,14.12,0.08,2.35,1.87725,2.52025,3.3875,4.365625,4.37228125,0.818,0.622,2.76314741505163,0
"Lucinella.divaricata",3.145,3.165,5,1,5.49,0.076,1.92,1.5,2.175,3.0175,3.175,3.175,0.884,0.45,2.17056510850635,0
"Lumbrineris.lusitanica",3.43,3.45,7,1,6.25,0.068,1.58,2.0425,2.075,3.125,3.43,3.4425,0.642,0.512,2.25182772653074,0
"Magelona.alleni",4.39375,3.76375,8,2,8.56,0.104,1.48,2.04125,2.075,3.45,4.4,4.41625,0.89,0.664,2.9954124108532,0
"Malacoceros.fuliginosus",4.39375,4.39375,7,2,78.88,0.004,14.91,3.5734375,3.6,4.111875,4.39375,4.39375,1,0.996,14.4297820310358,2
"Malacoceros.girardi",0.445,2.9925,4,1,5.19,0.044,2.27,0.4,0.41,2.795,3.04325,3.075,0.96,0.558,2.74967168876637,0
"Malacoceros.sp.",0.485,3.60875,9,2,7.44,0.096,0.95,0.485,0.5,3.2575,3.665,3.77525,0.648,0.582,2.45920863651485,0
"Maldanidae",4.365625,4.365625,5,2,14.25,0.168,2.06,1.27,1.85,3.175,4.365625,4.365625,0.77,0.446,2.56263101449318,0
"Manayunkia.aestuarina",2.34,2.34,10,2,10.53,0.024,2.83,2.075,2.1,2.34,3,3.436375,0.972,0.902,3.14113254144614,0
"Mediomastus.fragilis",2.7,2.6225,30,2,22.86,0.016,2.56,2.05,2.075,2.7,3.76375,3.775,0.948,0.872,3.10367942249305,0
"Melinna.palmata",4.33,2.05,6,2,6,0.08,1.89,2.035,2.05,3.0625,4.31625,4.33,0.964,0.65,3.04649824166991,0
"Melita.palmata",3.52375,3.225,23,2,16.27,0.008,2.8,0.41,0.485,3.2925,3.63375,3.897625,0.828,0.836,3.44382622196318,0
"Microphthalmus.pseudoaberrans",0.65,1.93,4,1,4.47,0.06,1.67,0.6,0.65,1.85,3.22125,3.242875,0.866,0.526,2.98597247410087,0
"Monocorophium.acherusicum",3.30875,3.3625,4,1,3.85,0.288,0.99,1.74,1.825,3.1,3.325,3.3625,0.43,0.242,1.60936753956832,0
"Myosotella.myosotis",3.4625,3.475,7,1,6.14,0.172,1.31,1.51,1.85,2.5625,3.4625,3.475,0.778,0.466,2.02877835429497,0
"Mysta.picta",4.39375,4.365625,4,2,15.37,0.056,2.43,1.06475,1.235,4.15875,4.41625,4.425625,0.59,0.748,3.56260070553033,0
"Neanthes.caudata",4.111875,4.111875,7,2,39.2,0.004,10.78,3.5233125,3.5875,4.045,4.321875,4.33,0.998,0.97,10.8278847596897,2
"Nematoda",3.988125,3.988125,48,2,55.8,0.004,5.42,2.69625,3.125,3.988125,4.408125,4.425625,0.988,0.994,5.81052089107919,2
"NEMERTEA",0.6,2.75,32,2,18.9,0.044,2.32,1.5,1.51,2.425,3.775,4.045,0.896,0.866,3.07635093661728,0
"Nephtys.cirrosa",1.74,1.74,11,1,24.44,0.004,9.14,0.839,0.87,1.7,1.85,1.88,1,1,9.92831791002703,1
"Nephtys.hombergii",2.75,2.75,21,2,16.39,0.008,3.2,1.6,1.74,2.7725,3.42,3.5675,0.936,0.844,3.46698558420088,0
"Notomastus.latericeus",3.0625,2.925,15,2,14.83,0.004,3.51,2.075,2.55,3.025,3.125,3.663125,0.972,0.944,3.74638793124804,0
"Nucula.sulcata",2.075,2.05,9,2,7.61,0.108,1.46,2.0425,2.05,2.925,3.59375,3.60875,0.716,0.616,2.34728014577652,0
"Oligochaeta",0.515,2.175,123,2,78.25,0.004,5.04,2.0175,2.0425,2.34,2.425,2.425,1,1,5.68517759202154,2
"Ophiodromus.flexuosus",4.33,4.365625,19,2,47.58,0.004,9.31,2.698625,2.9,4.3,4.358125,4.3875,1,0.996,7.02597273271674,2
"Ophryotrocha.sp.",4.365625,4.365625,12,2,60.57,0.004,12.11,2.1,3.547125,4.33,4.4,4.408125,0.996,0.976,9.02772770862014,2
"Papillicardium.papillosum",4.365625,4.365625,4,2,14.24,0.12,2.62,2.075,2.175,3.995625,4.365625,4.365625,0.62,0.43,2.62608547126364,0
"Paradoneis.armata",4.33,1.1,11,2,8.73,0.052,1.11,1.8,2.215,3.155,4.33,4.33,0.474,0.612,2.31605491349529,0
"Paradoneis.ilvana",2.925,2.875,4,2,4.88,0.108,2.12,2.75,2.825,2.925,3.677125,3.753,0.882,0.456,2.3786977356446,0
"Paragnathia.formica",1.5,1.5,13,1,16.15,0.012,4.2,0.71,0.84,1.39,1.595,2.795125,0.958,0.908,4.94417215791483,0
"Pariambus.typicus",3.145,3.165,4,1,4.4,0.204,1.34,1.24,1.4725,3.125,3.175,3.1875,0.706,0.276,1.7561495397365,0
"Parvicardium.scabrum",0.84,0.84,5,1,14.45,0.004,5.98,0.7,0.8,0.945,1.6,2.18374999999999,0.96,0.842,5.97944805321129,0
"Peringia.ulvae",4.308125,3.8925,100,1,60.51,0.016,2.14,0.99225,1.5,3.375,4,4.308125,0.818,0.948,2.81213122242803,0
"Phoronis.sp.",3.0925,3.08,4,2,5.33,0.004,1.98,3,3.05,3.1,3.4425,3.48168749999999,0.826,0.53,2.3837959627353,0
"Phyllodoce.lineata",0.485,3.6375,9,1,7.2,0.256,0.96,0.485,0.485,2.9375,3.6,3.62125,0.764,0.5,2.24089182088392,0
"Phyllodoce.mucosa",3.0625,2.925,5,2,6.25,0.044,2.54,2.84875,2.925,3.05,3.10625,3.3214375,0.952,0.662,2.82437985286668,0
"Phyllodocidae",4.33,4.33,5,2,26.1,0.02,4.65,3.125,3.125,3.78,4.33,4.33,0.994,0.9,5.92835923009189,0
"Pilargis.verrucosa",4.365625,4.365625,4,2,31.2,0.008,5.98,3.27625,3.35,3.78,4.365625,4.365625,0.978,0.886,7.2276368337368,0
