"","AMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"Bacteria (superkingdom)",NA,0.46505746985,0.5809043679,0.621331584361621,4.3062383322962,0.42,477.5
"FCB group",NA,3.41909814815,3.05816620385,3.59239629764959,5,4.5425595238125,-147
"Proteobacteria (superphylum)",NA,NA,NA,NA,NA,NA,NA
"Terrabacteria",NA,3.7632111444,3.031290247,NA,4.58269745928635,4.58185701721875,-132
"DTB120",NA,3.77779319145,3.2472756899,NA,0,4.1105926724125,NA
"PAUC34f",1.4065,0.46505746985,0.50353385445,0.604639926720508,NA,0.485,-174
"SBR1093",1.0705,NA,NA,NA,NA,4.63742249340625,NA
"WS2",5.95,3.41909814815,3.5063946883,3.67025118562807,5,0.515,-174
"AC1",2.896,4.13306949755,NA,3.47695706503649,4.85436998193877,4.5425595238125,-174
"FCPU426",NA,0.419973364,0.5425,0.53566772343266,5,0.94,-174
"TACK",NA,NA,NA,NA,NA,NA,NA
"Marine Hydrothermal Vent Group(MHVG)",NA,3.47078665845,3.5063946883,3.37909224281028,5,4.5425595238125,-147
"Bacteroidetes",1.0705,0.35499149005,0.4845,0.620257651023873,2.97476013224662,2.075,473.5
"Marinimicrobia (SAR406 clade)",1.0705,0.9927300935,2.4543799801,0.53566772343266,2.68613370872352,4.58185701721875,473.5
"Caldithrix phylum incertae sedis",NA,4.21818858715,NA,4.03084139883363,NA,NA,NA
"Ca. Latescibacteria (WS3)",NA,3.1708880497,2.556482624,3.67025118562807,3.05338085155898,4.58185701721875,-174
"Cloacimonetes",1.4475,0.419973364,0.64322360265,0.53566772343266,2.97476013224662,2.825,282.5
"Ca. Zixibacteria (RBG-1)",NA,3.41909814815,3.5063946883,3.67025118562807,5,0.8,-174
"LCP-89",1.0705,3.41909814815,0.5425,2.99291468038404,4.85436998193877,2.75,-174
"Proteobacteria",4.9,0.62874408815,2.72114180125,NA,5,0.515,-127
"Chloroflexi",1.6775,0.46505746985,0.50353385445,0.604639926720508,5,0.515,334.5
"WS1",1.4065,4.13306949755,0.64322360265,3.44471530704487,5,0.42,-174
"Planctomycetes",NA,3.41909814815,3.0186708539,2.99291468038404,5,NA,-174
"Ca. Omnitrophica (OP3)",NA,3.41909814815,1.0666852973,0.824939988898102,4.01509023024269,0.42,-174
"WA-aaa01f12",NA,3.1708880497,3.4998743339,NA,NA,4.5425595238125,-163.5
"Acidobacteria",3.286,NA,NA,NA,NA,0.7,NA
"Ca. Acetothermia (OP1)",5.95,3.41909814815,3.5063946883,3.67025118562807,4.85436998193877,2.75,14.5
"Ca. Modulibacteria (KSB3)",NA,0.35499149005,0.52353385445,0.604639926720508,0.00342252644679527,0.515,495.5
"Ca. Tectomicrobia",NA,2.36519225795,1.7556539307,4.03084139883363,0,4.44,441
"Ca. Hydrogenedentes (NKB19)",1.0705,0.35499149005,0.4845,0.53566772343266,4.94969512195122,0.8,311.5
"Ca. Atribacteria",NA,3.47078665845,3.031290247,3.44471530704487,4.58269745928635,3.5998171846375,35.5
"Ca. Saccharibacteria (TM7)",NA,3.46044069345,NA,NA,NA,1.19,NA
"Ca. Parcubacteria",NA,3.47078665845,3.0186708539,3.44471530704487,5,0.995,-144.5
"CPR2",1.0705,0.46505746985,0.6780984511,0.604639926720508,0.947154471544715,4.58185701721875,-174
"Ca. Microgenomates (OP11)",NA,NA,NA,NA,NA,NA,NA
"Ca. Gracilibacteria",NA,NA,0.52353385445,NA,NA,0.995,-174
"Ca. Peregrinibacteria",1.0705,0.419973364,0.4845,0.53566772343266,5,2.075,305.5
"Ca. Absconditabacteria (SR1)",1.0705,0.6565774215,0.4845,NA,NA,2.0425,473.5
"Poribacteria",NA,4.13306949755,3.44149437535,3.59239629764959,4.15006469409747,4.5425595238125,-174
"Ca. Aminicenantes (OP8)",1.0705,0.419973364,0.50353385445,0.53566772343266,4.01509023024269,4.58185701721875,-174
"Ca. Dependentiae (TM6)",NA,NA,1.0258089991,NA,NA,NA,NA
"NC10",1.9805,0.70880881015,0.5809043679,NA,NA,4.63742249340625,NA
"SPAM",1.6775,NA,0.5809043679,NA,NA,0.485,NA
"BRC1",1.0705,3.47078665845,0.50353385445,0.749869639020721,NA,0.88,473.5
"Marine Benthic Group E",1.6205,2.14295212445,1.64250412385,1.66671301473301,0,2.1,288
"Ca. Bathyarchaeota",NA,0.419973364,0.52353385445,NA,NA,0.515,326
"Group C3",NA,3.41909814815,3.5063946883,3.37909224281028,4.85436998193877,0.42,-174
"Ca. Woesearchaeota",NA,1.238,3.36471549985,NA,0.101626016260163,0.42,341
"Ca. Parvarchaeota",2.994,0.8636966157,0.6780984511,NA,5,4.5425595238125,299.5
"Ca. Lokiarchaeota",NA,3.47078665845,NA,NA,NA,0.485,-122
"Sphingobacteriia",5.95,1.5750395318,2.2980987026,0.989946586288442,2.68613370872352,4.1518426724125,-130
"Cytophagia",NA,NA,3.44149437535,NA,NA,NA,NA
"Bacteroidia",NA,NA,NA,NA,NA,4.63742249340625,NA
"Saprospiria",NA,3.7632111444,3.5063946883,3.67025118562807,4.85436998193877,4.5425595238125,-67.5
"Chitinophagia",NA,0.5381071895,0.5325,0.704401727376405,4.94969512195122,0.445,29
"Bacteroidetes VC2.1 Bac22",1.0705,0.35499149005,0.50353385445,0.604639926720508,0.0691056910569106,0.42,383
"SM1A07",NA,NA,NA,NA,NA,4.436875,NA
"SB-5",1.0705,0.381973364,0.50353385445,0.53566772343266,0,0.485,273.5
"Bacteroidetes BD2-2",1.0705,0.35499149005,0.50353385445,0.604639926720508,0,0.42,495.5
"WCHB1-32",1.9805,NA,NA,NA,NA,1.4396501749,NA
"Bacteroidetes vadinHA17",1.6775,0.46505746985,0.5425,0.604639926720508,NA,0.515,-151
"Ika33",1.9805,0.72672377485,0.64322360265,NA,0,1.525,240.5
"BD2-11 terrestrial group",1.6775,0.72672377485,3.2937211245,0.604639926720508,5,2.05,273.5
"PAUC43f marine benthic group",1.6205,0.70880881015,0.64322360265,0.749869639020721,NA,0.92,299.5
"S0134 terrestrial group",5.8615,3.78558204705,2.50979352515,3.83243626487274,2.40773869149706,1.125,495.5
"MD2902-B12",NA,3.41909814815,0.5425,3.37909224281028,4.58269745928635,0.94,-174
"AKAU4049",1.4905,0.8956647004,0.50353385445,0.53566772343266,0,2.1,288
"Fibrobacteria",NA,0.35499149005,3.5063946883,NA,5,0.42,495.5
"Chitinivibrionia",1.9805,NA,NA,NA,NA,0.8,-163.5
"LK-44f",NA,NA,2.2969474004,1.47300105714449,NA,NA,60
"Betaproteobacteria",1.9805,NA,0.50353385445,NA,NA,0.515,NA
"Alphaproteobacteria",5.8385,0.9927300935,2.50979352515,0.790622099533512,0.597206833922726,1.525,273.5
"Gammaproteobacteria",1.8505,0.35499149005,0.52353385445,0.53566772343266,NA,0.84,299.5
"Deltaproteobacteria",4.5905,NA,NA,NA,NA,NA,NA
"Milano-WF1B-44",NA,0.35499149005,0.4845,NA,5,NA,342.5
"AEGEAN-245",1.2625,NA,0.50353385445,NA,NA,0.42,NA
"JTB23",2.927,0.6828530963,0.8463990458,0.620257651023873,0,0.515,326
"Ca. Allobeggiatoa",NA,NA,NA,NA,NA,2.165,282.5
"pItb-vmat-80",1.2625,2.32475310365,1.8160877372,0.53566772343266,0,4.63742249340625,-151
"MACA-EFT26",NA,1.19939435895,1.20888467065,1.47300105714449,0,0.515,477.5
"Skagenf62",NA,NA,NA,NA,0,0.7,NA
"Clostridia",3.3505,0.9927300935,3.5063946883,NA,NA,0.6,-163.5
"Mollicutes",5.92,NA,1.1246126593,NA,NA,2.4,264
"Oxyphotobacteria",NA,3.78558204705,0.50353385445,3.67025118562807,4.94969512195122,0.58,-28
"ML635J-21",1.9805,NA,NA,0.53566772343266,NA,0.42,495.5
"OPB41",NA,3.41909814815,0.50353385445,3.37909224281028,4.58269745928635,0.42,-18
"MB-A2-108",NA,NA,NA,NA,NA,NA,441
"Dehalococcoidia (subdiv. 6)",NA,4.13306949755,3.44149437535,2.7611095696032,5,0.94,-174
"Chloroflexi Subdivision 2",NA,NA,NA,NA,NA,0.42,NA
"SBR2076",1.9805,0.8010657827,0.5325,0.790622099533512,NA,0.84,299.5
"Chloroflexi Subdivision 5 (SAR202)",2.53,0.8956647004,0.50353385445,0.604639926720508,0,2.05,217.85
"JG30-KF-CM66",NA,1.23349507385,3.5063946883,0.620257651023873,0,1.6,495.5
"Chloroflexi Subdivision 8 (TK10)",NA,3.78558204705,NA,4.03084139883363,3.05338085155898,NA,-174
"Ardenticatenia",2.9795,3.31894392975,3.4998743339,0.620257651023873,4.85436998193877,1.585,227
"S085",NA,2.36671811625,1.1687365971,1.4349401120342,0,4.381875,495.5
"Chloroflexi Subdivision 13",1.5555,3.41909814815,0.5809043679,2.99291468038404,4.85436998193877,0.515,473.5
"SJA-15",1.4905,0.35499149005,0.64322360265,0.604639926720508,0,0.68,299.5
"MSB-5B2",NA,4.13306949755,3.5063946883,3.59239629764959,5,NA,NA
"SJA-68",1.4065,3.41909814815,3.5063946883,2.99291468038404,5,0.515,-174
"Spirochaetia",1.0705,0.35499149005,0.64322360265,0.658099542280137,0.101626016260163,0.8,273.5
"LD1-PA32",1.0705,3.31894392975,2.58199075925,3.67025118562807,4.85436998193877,4.441875,-174
"vadinHA49",1.4905,NA,NA,NA,5,NA,NA
"Phycisphaerae",NA,NA,NA,NA,NA,4.5425595238125,-174
"Pla3 lineage",1.4475,0.419973364,0.4845,0.53566772343266,0,2.05,282.5
"OM190",1.4475,0.46505746985,0.4845,0.604639926720508,5,2.05,282.5
"Pla4 lineage",NA,NA,NA,NA,NA,NA,NA
"BD7-11",1.6205,0.35499149005,0.5325,0.53566772343266,NA,1.555,282.5
"028H05-P-BN-P5",1.2625,0.46505746985,0.5809043679,0.604639926720508,0,1.4396501749,282.5
"Opitutae",NA,0.46505746985,0.52353385445,0.604639926720508,0,2.875,131.5
"Ca. Methylacidiphilum",NA,2.28893830285,1.1687365971,1.78957497521899,0,NA,NA
"OPB35 soil group",1.9805,NA,NA,NA,NA,0.8,NA
"LD1-PB3",5.95,0.8192138146,0.93755601405,2.38873803519719,1.05081300813008,4.36,-174
"WCHB1-41",5.95,0.381973364,1.20888467065,0.604639926720508,0.101626016260163,0.42,473.5
"Campylobacteria",NA,NA,NA,NA,NA,NA,305.5
"Subgroup 6",NA,NA,NA,NA,3.93132117615513,NA,-174
"Acidobacteria group 2",1.4475,0.381973364,0.64322360265,NA,NA,0.445,NA
"d142",5.8385,3.26659883975,0.52353385445,3.15183898368352,5,0.515,-174
"Acidobacteria group 21",1.4475,0.6828530963,0.50353385445,0.604639926720508,0,4.425625,240.5
"Acidobacteria group 18",NA,3.63401713805,0.5809043679,3.37909224281028,4.22542003733665,0.485,-174
