"","AMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"Bacteria (superkingdom)",0,4,5,4,5,5,5
"FCB group",0,4,4,4,5,4,4
"Proteobacteria (superphylum)",0,0,0,0,0,0,0
"Terrabacteria",0,4,3,0,5,5,4
"DTB120",0,1,1,0,1,3,0
"PAUC34f",2,1,1,1,0,0,1
"SBR1093",2,0,0,0,0,2,0
"WS2",5,5,5,4,5,4,0
"AC1",5,4,0,4,5,5,5
"FCPU426",0,3,3,3,0,4,4
"TACK",0,0,0,0,0,0,0
"Marine Hydrothermal Vent Group(MHVG)",0,4,4,4,5,5,4
"Bacteroidetes",5,5,5,4,4,5,3
"Marinimicrobia (SAR406 clade)",5,4,4,4,4,5,5
"Caldithrix phylum incertae sedis",0,5,0,5,0,0,0
"Ca. Latescibacteria (WS3)",0,4,4,4,4,5,5
"Cloacimonetes",5,5,3,5,4,5,5
"Ca. Zixibacteria (RBG-1)",0,4,4,4,5,5,5
"LCP-89",3,4,4,4,5,5,5
"Proteobacteria",1,0,0,0,1,1,2
"Chloroflexi",5,4,4,4,5,5,4
"WS1",5,4,5,4,5,5,5
"Planctomycetes",0,4,4,4,5,0,5
"Ca. Omnitrophica (OP3)",0,4,5,4,5,5,0
"WA-aaa01f12",0,5,3,0,0,5,5
"Acidobacteria",3,0,0,0,0,1,0
"Ca. Acetothermia (OP1)",5,5,5,5,5,5,5
"Ca. Modulibacteria (KSB3)",0,5,5,5,5,4,3
"Ca. Tectomicrobia",0,2,2,2,1,3,1
"Ca. Hydrogenedentes (NKB19)",3,5,4,5,5,4,0
"Ca. Atribacteria",0,5,5,5,5,5,4
"Ca. Saccharibacteria (TM7)",0,0,0,0,0,2,0
"Ca. Parcubacteria",0,4,4,4,5,4,4
"CPR2",5,4,4,4,4,5,5
"Ca. Microgenomates (OP11)",0,0,0,0,0,0,0
"Ca. Gracilibacteria",0,0,3,0,0,3,0
"Ca. Peregrinibacteria",3,4,4,4,0,5,4
"Ca. Absconditabacteria (SR1)",5,3,3,0,0,5,3
"Poribacteria",0,4,5,4,5,5,5
"Ca. Aminicenantes (OP8)",5,4,4,4,5,5,5
"Ca. Dependentiae (TM6)",0,0,2,0,0,0,0
