"","AMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"Bacteria (superkingdom)",0,65.26,65.38,61.93,67.32,70.59,63.23
"FCB group",0,42.45,47.67,40.95,52.19,36.53,59.4
"Proteobacteria (superphylum)",0,0,0,0,0,0,0
"Terrabacteria",0,63.71,41.22,0,41.4,27.57,30.25
"DTB120",0,40.92,39.26,0,53.55,41.14,0
"PAUC34f",69.54,64.11,61.15,63.61,0,64.97,65.48
"SBR1093",53.58,0,0,0,0,49.51,0
"WS2",66.57,70.45,67.52,62.9,59.93,63.47,62.46
"AC1",46.87,66.31,0,57.2,46.06,52.31,54.57
"FCPU426",0,62.89,65.85,66.18,55.96,63.82,58.51
"TACK",0,0,0,0,0,0,0
"Marine Hydrothermal Vent Group(MHVG)",0,72.24,68.29,71.31,78.39,49.15,62.56
"Bacteroidetes",63.66,63.31,67.1,58.21,63.55,68.23,69.65
"Marinimicrobia (SAR406 clade)",59.62,74.02,73.24,62.87,68.98,73.59,74.22
"Caldithrix phylum incertae sedis",0,63.57,0,58.79,0,0,0
"Ca. Latescibacteria (WS3)",0,62.1,62.11,61.16,64.74,57.15,61.24
"Cloacimonetes",63.13,72.13,70.95,67.62,62.24,79.09,72.84
"Ca. Zixibacteria (RBG-1)",0,74.22,64.29,68.91,68.1,67.21,67.38
"LCP-89",63.95,69.25,65.5,66.27,65.19,72.9,68.35
"Proteobacteria",66.88,64.11,68.74,0,62.52,67.88,65.05
"Chloroflexi",86.47,79.97,81.98,80.61,80.3,83.02,86.82
"WS1",66.26,72.07,68.19,65.67,64.8,68.36,70.43
"Planctomycetes",0,79.71,63.09,79.3,73.21,0,62.68
"Ca. Omnitrophica (OP3)",0,61.82,62.15,61.83,64.49,65.43,68.22
"WA-aaa01f12",0,51.02,52.15,0,0,52.47,55.09
"Acidobacteria",32.29,0,0,0,0,43.94,0
"Ca. Acetothermia (OP1)",71.6,74.64,83.25,69.85,79.98,82.59,83.81
"Ca. Modulibacteria (KSB3)",0,64.94,77.35,68.83,68.18,68.45,76.17
"Ca. Tectomicrobia",0,67.27,63.55,63.5,69.85,59,65.11
"Ca. Hydrogenedentes (NKB19)",66.77,61.99,58.77,57.73,60.72,65.59,66.75
"Ca. Atribacteria",0,84.26,84.4,77.83,88.09,77.55,83.37
