"","AMBI","microgAMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"Abarenicola.claparedi",NA,NA,NA,NA,NA,NA,NA,NA
"Abra.alba",NA,NA,2.4355,2.7095,3.47695706503649,2.7904284355538,4.365625,31.5
"Abra.prismatica",NA,NA,NA,NA,NA,NA,NA,NA
"Abyssoninoe.hibernica",NA,NA,NA,NA,NA,2.32171166795675,NA,NA
"Acanthocardia.aculeata",NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocardia.paucicostata",NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocardia.tuberculata",NA,NA,NA,NA,NA,NA,NA,NA
"Achelia.echinata",NA,NA,NA,NA,NA,NA,NA,NA
"Acrocnida.brachiata",NA,NA,NA,NA,NA,NA,NA,NA
"Acteon.tornatilis",NA,NA,NA,NA,NA,NA,NA,NA
"Alkmaria.romijni",NA,2.0565502807,NA,NA,NA,0.310975609756098,NA,299.5
"Allomelita.pellucida",NA,NA,NA,NA,NA,NA,NA,NA
"Ammothella.longipes",NA,NA,NA,NA,NA,NA,NA,NA
"Ampelisca.brevicornis",NA,NA,NA,NA,NA,NA,NA,NA
"Ampelisca.cavicoxa",NA,NA,NA,NA,NA,NA,NA,NA
"Ampelisca.sarsi",NA,NA,NA,NA,NA,NA,NA,NA
"Ampelisca.tenuicornis",NA,NA,NA,NA,NA,NA,NA,NA
"Ampharete.finmarchica",NA,NA,NA,NA,NA,NA,NA,NA
"Amphipholis.squamata",NA,NA,NA,NA,NA,NA,NA,NA
"Anapagurus.hyndmanni",NA,NA,NA,NA,NA,NA,NA,NA
"Angulus.pygmaeus",NA,NA,NA,NA,NA,NA,NA,NA
"Anomia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Anomiidae",NA,NA,NA,NA,NA,NA,NA,NA
"Antalis.novemcostata",NA,NA,NA,NA,NA,NA,NA,NA
"Anthozoa",NA,NA,NA,NA,NA,NA,NA,NA
"Anthura.gracilis",NA,NA,NA,NA,NA,NA,NA,NA
"Anurida.maritima",NA,NA,NA,NA,NA,NA,NA,NA
"Aonides.oxycephala",NA,NA,2.2945,1.9745,1.93480594673092,2.20556818239309,NA,-137.5
"Aonides.paucibranchiata",NA,NA,NA,NA,NA,NA,NA,NA
"Aoridae",NA,NA,NA,NA,NA,NA,NA,NA
"Aphelochaeta.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Aponuphis.bilineata",NA,NA,NA,NA,NA,NA,NA,NA
"Arenicolidae",NA,NA,NA,NA,NA,NA,NA,NA
"Aricidea.catherinae",NA,NA,NA,NA,NA,NA,NA,NA
"Aricidea.cerrutii",NA,NA,NA,NA,NA,NA,NA,NA
"Aricidea.suecica.meridionalis",NA,NA,NA,NA,NA,NA,NA,NA
"Armandia.cirrhosa",NA,NA,2.2945,2.808,1.93480594673092,2.20556818239309,NA,NA
"Asbjornsenia.pygmaea",NA,1.35143242505,NA,NA,NA,NA,NA,NA
"Aspidosiphon.muelleri",NA,NA,NA,NA,NA,NA,NA,NA
"Austrominius.modestus",NA,NA,NA,NA,NA,NA,NA,NA
"Autolytus.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Autonoe.spiniventris",NA,NA,NA,NA,NA,NA,NA,NA
"Balanus.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Barnea.candida",NA,NA,NA,NA,NA,NA,NA,NA
"Bathyporeia.elegans",NA,NA,NA,NA,NA,NA,NA,NA
"Bathyporeia.pelagica",NA,NA,NA,NA,NA,NA,NA,NA
"Bathyporeia.pilosa",NA,NA,NA,NA,NA,NA,NA,NA
"Beania.magellanica",NA,NA,NA,NA,NA,NA,NA,NA
"Bela.nebula",NA,NA,NA,NA,NA,NA,NA,NA
"Bittium.reticulatum",NA,NA,NA,NA,NA,NA,NA,NA
"Bivalvia",NA,NA,NA,NA,NA,NA,NA,NA
"Boccardia.semibranchiata",NA,NA,NA,NA,NA,NA,NA,NA
"Boccardiella.ligerica",NA,NA,NA,NA,NA,NA,NA,NA
"Boccardiella.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Bodotria.scorpioides",NA,NA,NA,NA,NA,NA,NA,NA
"Branchiomaldane.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Brania.pusilla",NA,NA,NA,NA,NA,NA,NA,NA
"Brania.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Brissopsis.lyrifera",NA,NA,NA,NA,NA,NA,NA,NA
"Capitella.capitata",3.2525,1.84185325285,2.421,2.4695,2.67255197056585,2.68613370872352,4.33,-58.5
"Capitella.minima",NA,NA,NA,NA,NA,NA,NA,NA
"Carcinus.maenas",NA,NA,NA,NA,NA,NA,NA,NA
"Caulleriella.alata",NA,NA,NA,NA,NA,NA,NA,NA
"Caulleriella.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Cavernularia.pusilla",NA,NA,NA,NA,NA,NA,NA,NA
"Centraloecetes.kroyeranus",NA,NA,NA,NA,NA,NA,NA,NA
"Cerastoderma.edule",NA,NA,NA,0.502,NA,NA,NA,NA
"Cerastoderma.glaucum",NA,NA,NA,NA,NA,NA,NA,NA
"Cerastoderma.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Cerebratulus.marginatus",NA,NA,NA,NA,NA,NA,NA,NA
"Cerebratulus.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Cerianthus.sp.",NA,NA,2.4785,3.5025,NA,2.20556818239309,NA,NA
"Chaetozone.gibber",NA,NA,2.4785,2.909,3.47695706503649,2.1303225598373,4.33,-97
"Chaetozone.setosa",NA,NA,NA,NA,NA,NA,NA,NA
"Chamelea.striatula",NA,NA,NA,NA,NA,NA,NA,NA
"Cirripedia",NA,NA,NA,NA,NA,NA,NA,NA
"Cirrophorus.furcatus",NA,NA,NA,NA,NA,NA,NA,NA
"Cirrophorus.nikebianchii",NA,NA,NA,NA,NA,NA,NA,NA
"Collembola",NA,NA,NA,NA,NA,NA,NA,NA
"Copepoda",NA,NA,NA,NA,NA,NA,NA,NA
"Corbula.gibba",NA,NA,2.4355,2.568,2.8332956932568,2.68613370872352,4.33,-118.5
"Corophium.multisetosum",NA,NA,0.9285,0.8155,NA,0,NA,NA
"Corophium.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Corophium.urdaibaiense",NA,NA,NA,NA,NA,NA,NA,NA
"Corophium.volutator",NA,NA,NA,NA,NA,NA,NA,NA
"Cossura.pygodactylata",NA,NA,NA,NA,NA,NA,NA,NA
"Cossura.sp.",NA,NA,2.357,2.7095,3.47695706503649,2.1303225598373,4.33,-77.5
"Crassostrea.gigas",NA,NA,NA,NA,NA,NA,NA,NA
"Cumopsis.fagei",NA,NA,NA,NA,NA,NA,NA,NA
"Cyathura.carinata",NA,1.35143242505,NA,NA,NA,NA,NA,NA
"Cylichna.cylindracea",NA,NA,2.4785,2.9735,1.93480594673092,2.20556818239309,NA,NA
"Decapoda",NA,NA,NA,NA,NA,NA,NA,NA
"Desdemona.ornata",NA,NA,NA,1.6675,NA,1.04539211073505,NA,155.5
"Diastylis.bradyi",NA,NA,NA,NA,NA,NA,NA,NA
"Diastylis.laevis",NA,NA,NA,NA,NA,NA,NA,NA
"Diogenes.pugilator",NA,NA,NA,NA,NA,NA,NA,NA
"Diopatra.micrura",NA,NA,NA,NA,NA,NA,NA,NA
"Diopatra.neapolitana",NA,NA,NA,NA,NA,NA,NA,NA
"Diopatra.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Diplocirrus.glaucus",NA,NA,NA,NA,NA,NA,NA,NA
"Diptera",2.855,1.35143242505,3.852,2.568,2.05859307627545,3.8348510834206,NA,NA
"Dispio.uncinata",NA,NA,NA,NA,NA,NA,NA,NA
"Donax.variegatus",NA,NA,NA,NA,NA,NA,NA,NA
"Dosinia.lupinus",NA,NA,NA,NA,NA,NA,NA,-137.5
"Ebalia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
