"","AMBI","microgAMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox","AMBIGroup"
"Abarenicola.claparedi",0,0,0,0,0,0,0,0,NA
"Abra.alba",0,0,4,4,4,4,4,4,NA
"Abra.prismatica",0,0,0,0,0,0,0,0,NA
"Abyssoninoe.hibernica",0,0,0,0,0,4,0,0,NA
"Acanthocardia.aculeata",0,0,0,0,0,0,0,0,NA
"Acanthocardia.paucicostata",0,0,0,0,0,0,0,0,NA
"Acanthocardia.tuberculata",0,0,0,0,0,0,0,0,NA
"Achelia.echinata",0,0,0,0,0,0,0,0,NA
"Acrocnida.brachiata",0,0,0,0,0,0,0,0,NA
"Acteon.tornatilis",0,0,0,0,0,0,0,0,NA
"Alkmaria.romijni",0,4,0,0,0,3,0,3,NA
"Allomelita.pellucida",0,0,0,0,0,0,0,0,NA
"Ammothella.longipes",0,0,0,0,0,0,0,0,NA
"Ampelisca.brevicornis",0,0,0,0,0,0,0,0,NA
"Ampelisca.cavicoxa",0,0,0,0,0,0,0,0,NA
"Ampelisca.sarsi",0,0,0,0,0,0,0,0,NA
"Ampelisca.tenuicornis",0,0,0,0,0,0,0,0,NA
"Ampharete.finmarchica",0,0,0,0,0,0,0,0,NA
"Amphipholis.squamata",0,0,0,0,0,0,0,0,NA
"Anapagurus.hyndmanni",0,0,0,0,0,0,0,0,NA
"Angulus.pygmaeus",0,0,0,0,0,0,0,0,NA
"Anomia.sp.",0,0,0,0,0,0,0,0,NA
"Anomiidae",0,0,0,0,0,0,0,0,NA
"Antalis.novemcostata",0,0,0,0,0,0,0,0,NA
"Anthozoa",0,0,0,0,0,0,0,0,NA
"Anthura.gracilis",0,0,0,0,0,0,0,0,NA
"Anurida.maritima",0,0,0,0,0,0,0,0,NA
"Aonides.oxycephala",0,0,4,4,5,4,0,4,NA
"Aonides.paucibranchiata",0,0,0,0,0,0,0,0,NA
"Aoridae",0,0,0,0,0,0,0,0,NA
"Aphelochaeta.sp.",0,0,0,0,0,0,0,0,NA
"Aponuphis.bilineata",0,0,0,0,0,0,0,0,NA
"Arenicolidae",0,0,0,0,0,0,0,0,NA
"Aricidea.catherinae",0,0,0,0,0,0,0,0,NA
"Aricidea.cerrutii",0,0,0,0,0,0,0,0,NA
"Aricidea.suecica.meridionalis",0,0,0,0,0,0,0,0,NA
"Armandia.cirrhosa",0,0,4,4,5,4,0,0,NA
"Asbjornsenia.pygmaea",0,2,0,0,0,0,0,0,NA
"Aspidosiphon.muelleri",0,0,0,0,0,0,0,0,NA
"Austrominius.modestus",0,0,0,0,0,0,0,0,NA
"Autolytus.sp.",0,0,0,0,0,0,0,0,NA
"Autonoe.spiniventris",0,0,0,0,0,0,0,0,NA
"Balanus.sp.",0,0,0,0,0,0,0,0,NA
"Barnea.candida",0,0,0,0,0,0,0,0,NA
"Bathyporeia.elegans",0,0,0,0,0,0,0,0,NA
"Bathyporeia.pelagica",0,0,0,0,0,0,0,0,NA
"Bathyporeia.pilosa",0,0,0,0,0,0,0,0,NA
"Beania.magellanica",0,0,0,0,0,0,0,0,NA
"Bela.nebula",0,0,0,0,0,0,0,0,NA
"Bittium.reticulatum",0,0,0,0,0,0,0,0,NA
"Bivalvia",0,0,0,0,0,0,0,0,NA
"Boccardia.semibranchiata",0,0,0,0,0,0,0,0,NA
"Boccardiella.ligerica",0,0,0,0,0,0,0,0,NA
"Boccardiella.sp.",0,0,0,0,0,0,0,0,NA
"Bodotria.scorpioides",0,0,0,0,0,0,0,0,NA
"Branchiomaldane.sp.",0,0,0,0,0,0,0,0,NA
"Brania.pusilla",0,0,0,0,0,0,0,0,NA
