"","AMBI","microgAMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"Abarenicola.claparedi",0,0,0,0,0,0,0,0
"Abra.alba",0,0,41.94,38.1,32.04,44.83,32.06,28.62
"Abra.prismatica",0,0,0,0,0,0,0,0
"Abyssoninoe.hibernica",0,0,0,0,0,13.79,0,0
"Acanthocardia.aculeata",0,0,0,0,0,0,0,0
"Acanthocardia.paucicostata",0,0,0,0,0,0,0,0
"Acanthocardia.tuberculata",0,0,0,0,0,0,0,0
"Achelia.echinata",0,0,0,0,0,0,0,0
"Acrocnida.brachiata",0,0,0,0,0,0,0,0
"Acteon.tornatilis",0,0,0,0,0,0,0,0
"Alkmaria.romijni",0,47.04,0,0,0,47.17,0,46.34
"Allomelita.pellucida",0,0,0,0,0,0,0,0
"Ammothella.longipes",0,0,0,0,0,0,0,0
"Ampelisca.brevicornis",0,0,0,0,0,0,0,0
"Ampelisca.cavicoxa",0,0,0,0,0,0,0,0
"Ampelisca.sarsi",0,0,0,0,0,0,0,0
"Ampelisca.tenuicornis",0,0,0,0,0,0,0,0
"Ampharete.finmarchica",0,0,0,0,0,0,0,0
"Amphipholis.squamata",0,0,0,0,0,0,0,0
"Anapagurus.hyndmanni",0,0,0,0,0,0,0,0
"Angulus.pygmaeus",0,0,0,0,0,0,0,0
"Anomia.sp.",0,0,0,0,0,0,0,0
"Anomiidae",0,0,0,0,0,0,0,0
"Antalis.novemcostata",0,0,0,0,0,0,0,0
"Anthozoa",0,0,0,0,0,0,0,0
"Anthura.gracilis",0,0,0,0,0,0,0,0
"Anurida.maritima",0,0,0,0,0,0,0,0
"Aonides.oxycephala",0,0,22.34,19.05,18.6,23.15,0,56.62
"Aonides.paucibranchiata",0,0,0,0,0,0,0,0
"Aoridae",0,0,0,0,0,0,0,0
"Aphelochaeta.sp.",0,0,0,0,0,0,0,0
"Aponuphis.bilineata",0,0,0,0,0,0,0,0
"Arenicolidae",0,0,0,0,0,0,0,0
"Aricidea.catherinae",0,0,0,0,0,0,0,0
"Aricidea.cerrutii",0,0,0,0,0,0,0,0
"Aricidea.suecica.meridionalis",0,0,0,0,0,0,0,0
"Armandia.cirrhosa",0,0,22.02,22.58,18.6,23.59,0,0
"Asbjornsenia.pygmaea",0,15.62,0,0,0,0,0,0
"Aspidosiphon.muelleri",0,0,0,0,0,0,0,0
"Austrominius.modestus",0,0,0,0,0,0,0,0
"Autolytus.sp.",0,0,0,0,0,0,0,0
"Autonoe.spiniventris",0,0,0,0,0,0,0,0
"Balanus.sp.",0,0,0,0,0,0,0,0
"Barnea.candida",0,0,0,0,0,0,0,0
"Bathyporeia.elegans",0,0,0,0,0,0,0,0
"Bathyporeia.pelagica",0,0,0,0,0,0,0,0
"Bathyporeia.pilosa",0,0,0,0,0,0,0,0
"Beania.magellanica",0,0,0,0,0,0,0,0
"Bela.nebula",0,0,0,0,0,0,0,0
"Bittium.reticulatum",0,0,0,0,0,0,0,0
"Bivalvia",0,0,0,0,0,0,0,0
"Boccardia.semibranchiata",0,0,0,0,0,0,0,0
"Boccardiella.ligerica",0,0,0,0,0,0,0,0
"Boccardiella.sp.",0,0,0,0,0,0,0,0
"Bodotria.scorpioides",0,0,0,0,0,0,0,0
"Branchiomaldane.sp.",0,0,0,0,0,0,0,0
"Brania.pusilla",0,0,0,0,0,0,0,0
"Brania.sp.",0,0,0,0,0,0,0,0
"Brissopsis.lyrifera",0,0,0,0,0,0,0,0
"Capitella.capitata",61.86,53.55,88.04,92.14,69.78,79.57,71.48,65.79
"Capitella.minima",0,0,0,0,0,0,0,0
"Carcinus.maenas",0,0,0,0,0,0,0,0
"Caulleriella.alata",0,0,0,0,0,0,0,0
"Caulleriella.sp.",0,0,0,0,0,0,0,0
"Cavernularia.pusilla",0,0,0,0,0,0,0,0
"Centraloecetes.kroyeranus",0,0,0,0,0,0,0,0
"Cerastoderma.edule",0,0,0,27.5,0,0,0,0
"Cerastoderma.glaucum",0,0,0,0,0,0,0,0
"Cerastoderma.sp.",0,0,0,0,0,0,0,0
"Cerebratulus.marginatus",0,0,0,0,0,0,0,0
"Cerebratulus.sp.",0,0,0,0,0,0,0,0
"Cerianthus.sp.",0,0,26.09,25.39,0,17.14,0,0
"Chaetozone.gibber",0,0,44.45,49.78,36.26,42.17,36.84,43.11
"Chaetozone.setosa",0,0,0,0,0,0,0,0
"Chamelea.striatula",0,0,0,0,0,0,0,0
"Cirripedia",0,0,0,0,0,0,0,0
"Cirrophorus.furcatus",0,0,0,0,0,0,0,0
"Cirrophorus.nikebianchii",0,0,0,0,0,0,0,0
"Collembola",0,0,0,0,0,0,0,0
"Copepoda",0,0,0,0,0,0,0,0
"Corbula.gibba",0,0,70.72,76.98,49.97,73.9,70.79,72.97
"Corophium.multisetosum",0,0,16.25,23.27,0,26.48,0,0
"Corophium.sp.",0,0,0,0,0,0,0,0
"Corophium.urdaibaiense",0,0,0,0,0,0,0,0
"Corophium.volutator",0,0,0,0,0,0,0,0
"Cossura.pygodactylata",0,0,0,0,0,0,0,0
"Cossura.sp.",0,0,29.63,40,19.05,27.59,26.82,25.07
"Crassostrea.gigas",0,0,0,0,0,0,0,0
"Cumopsis.fagei",0,0,0,0,0,0,0,0
"Cyathura.carinata",0,70.48,0,0,0,0,0,0
"Cylichna.cylindracea",0,0,18.28,16.67,16.17,18.28,0,0
"Decapoda",0,0,0,0,0,0,0,0
"Desdemona.ornata",0,0,0,18.2,0,19.53,0,14.47
"Diastylis.bradyi",0,0,0,0,0,0,0,0
"Diastylis.laevis",0,0,0,0,0,0,0,0
"Diogenes.pugilator",0,0,0,0,0,0,0,0
"Diopatra.micrura",0,0,0,0,0,0,0,0
"Diopatra.neapolitana",0,0,0,0,0,0,0,0
"Diopatra.sp.",0,0,0,0,0,0,0,0
"Diplocirrus.glaucus",0,0,0,0,0,0,0,0
"Diptera",48.88,48.61,40.26,52.55,55.02,47.59,0,0
"Dispio.uncinata",0,0,0,0,0,0,0,0
"Donax.variegatus",0,0,0,0,0,0,0,0
"Dosinia.lupinus",0,0,0,0,0,0,0,15.15
"Ebalia.sp.",0,0,0,0,0,0,0,0
"Echinocardium.cordatum",0,0,0,0,0,0,0,0
"Echiura",0,0,0,0,0,0,0,0
"Edwardsia.sp.",0,0,0,0,0,0,0,0
"Edwardsiidae",0,0,0,0,0,0,0,0
"Elminius.modestus",0,0,0,0,0,0,0,0
"Euclymene.collaris",0,0,0,0,0,0,0,0
"Euclymene.oerstedi",0,0,0,0,0,0,0,0
"Euclymene.oerstedii",0,0,23.79,22.43,28.19,25,0,17.14
"Euclymene.sp.",0,0,0,0,0,0,0,0
"Euglesa.casertana",0,0,0,0,0,0,0,0
"Eulimella.sp.",0,0,0,0,0,0,0,0
"Eumida.bahusiensis",0,0,0,0,0,0,0,0
"Eumida.sanguinea",0,0,0,0,0,0,0,0
"Eumida.sp.",0,0,0,0,0,0,0,0
"Eurydice.affinis",21.24,19.95,0,26.09,0,18.65,48.12,24.66
"Eurydice.naylori",0,0,0,0,0,0,0,0
"Eurydice.pulchra",0,0,0,0,0,0,0,0
"Eurydice.sp.",0,0,0,0,0,0,0,0
"Euspira.nitida",0,0,13.21,16.67,17.07,16.86,0,0
"Exogone.dispar",0,0,0,0,0,0,0,0
"Fabulina.fabula",0,0,0,0,0,0,0,0
