Sample	Type	Source	Nacid	xKit	Rep	Polymerase	Run	Primer	Station	Environment	Estuary	Tide	Date	Season	Year	microgAMBI	AMBI	AMBI.5y	MAMBI	MAMBI.5y	Redox	OM	Gravel	Sand	Mud	Cu	Pb	Ni	Cr	Zn	Mn	Fe	Hg	Cd	PON	TotalP	TOC	POC	TotalPCB	TotalPAH	TotalDDT	TotalHCH	PI	PI5yAvg	PI10yAvg	Redox5yAvg	Redox10yAvg	OM5yAvg	OM10yAvg	WaterO2	DO	pH	MaxDepthPM	PointDepthBM	Salinity	SalClass	Q1SiteSal	Q2SiteSal	Q3SiteSal	SolidosSusp	ChlA	Silicate	Nitrite	NH3	Turbidity	Nitrate	PO4	PlotName	IntRatio6y	PhytoStatus	Comp
EA05_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EA05	Estuarine	06 Artibai	BM	2013-01-30	Wi	2013	3.2240475358	5.191	5.491	0.572	0.355	232	5.91	0.52	85.56	13.92	47.6	47.2	41.6	34.7	122.2	693.3	35769	0.087	0.114	0.114	NA	NA	1.8	0	1742	0	0	1.4628683791	1.5114500995	NA	-52.9	-42.2	6.17	6.46	96.7	NA	NA	3	0	0.2	1	0.15	0.16	0.26	NA	NA	NA	NA	NA	NA	NA	NA	EA05_S_Wi2013	NA	NA	1
EA05_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	EA05	Estuarine	06 Artibai	BM	2015-02-16	Wi	2015	3.354623734	5.336	5.506	0.554	0.362	135	4.9	0	54.73	45.27	34.7	41	27	28.7	76.7	506	39771	0.041	0.488	NA	NA	NA	NA	16	0	0	0	1.2228475276	1.3827597649	NA	11.86	-28.44	5.852	5.683	90.5	NA	NA	3	0	0.2	1	0.15	0.16	0.26	NA	NA	NA	NA	NA	NA	NA	NA	EA05_S_Wi2015	NA	NA	1
EA05_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EA05	Estuarine	06 Artibai	BM	2016-01-26	Wi	2016	3.1775396086	3.782	5.082	0.677	0.455	40	3.7	9.2	54.21	36.59	64	35	32	48	176	611	33884	0.09	0.23	NA	NA	NA	NA	0	0	0	0	1.27464231	1.3222403824	NA	29.1	-24.4	5.64	5.4	93.5	NA	NA	1.5	0	0.2	1	0.15	0.16	0.26	NA	NA	NA	NA	NA	NA	NA	NA	EA05_S_Wi2016	NA	NA	1
EA05_S_Wi2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EA05	Estuarine	06 Artibai	BM	2017-02-13	Wi	2017	3.2645352759	4.032	4.744	0.651	0.549	353	1.48	10.78	87.69	1.52	46	35	24	40	134	932	45337	0	0.17	NA	NA	NA	NA	0	0	0	0	0.9535587678	1.1994252947	NA	152	16.8	4.06	4.82	95.9	NA	NA	1	0	0.3	1	0.15	0.16	0.26	NA	NA	NA	NA	NA	NA	NA	NA	EA05_S_Wi2017	NA	NA	D
EA05_S_Wi2017RNA	S	S	RNA	DNA-RNA	1	HF	201904	519..806D	EA05	Estuarine	06 Artibai	BM	2017-02-13	Wi	2017	3.6315301391	4.032	4.744	0.651	0.549	353	1.48	10.78	87.69	1.52	46	35	24	40	134	932	45337	0	0.17	NA	NA	NA	NA	0	0	0	0	0.9535587678	1.1994252947	NA	152	16.8	4.06	4.82	95.9	NA	NA	1	0	0.3	1	0.15	0.16	0.26	NA	NA	NA	NA	NA	NA	NA	NA	EA05_S_Wi2017	NA	NA	R
EA05_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EA05	Estuarine	06 Artibai	BM	2018-01-17	Wi	2018	2.3937621832	4.175	4.5404	0.72	0.59	217.7	4.5	0	59.12	40.88	39	28	27	36	111	544	45453	0.06	0.17	NA	NA	NA	NA	0	0	0	0	1.0739178785	1.1216351946	NA	149.1	48.1	3.78	4.98	111	NA	NA	1	0	0.1	1	0.15	0.16	0.26	NA	NA	NA	NA	NA	NA	NA	NA	EA05_S_Wi2018	NA	NA	1
EA05_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EA05	Estuarine	06 Artibai	BM	2019-01-21	Wi	2019	2.6497226828	2.547	4.331	NA	0.65	168	11.54	4.7	66.83	28.47	41	33	24	47	134	854	27842	0.08	0.26	NA	NA	NA	NA	4.1	0	0	0	1.325969475	1.1701871918	NA	182.74	74.94	5.224	5.357	95.3	NA	NA	1	0	0.2	1	0.15	0.16	0.26	NA	NA	NA	NA	NA	NA	NA	NA	EA05_S_Wi2019	NA	NA	1
EA10_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EA10	Estuarine	06 Artibai	BM	2013-01-30	Wi	2013	3.0196222618	4.209	5.168	0.544	0.287	176	8.01	0	25.71	74.29	60.5	54.9	53.1	46.5	165.3	344.3	33054	0.115	0.189	0.211	NA	NA	3.6	5.8	409	0	0	1.5975838673	1.5350452272	NA	-88.9	-73	10.23	8.1	93.9	NA	NA	5.5	2.5	28.3	3	19.29	27.27	27.79	NA	NA	NA	NA	NA	NA	NA	NA	EA10_S_Wi2013	NA	NA	1
EA10_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	EA10	Estuarine	06 Artibai	BM	2015-02-03	Wi	2015	2.3905174611	4.275	4.866	0.611	0.379	-36	5.6	0.21	69.13	30.66	41.2	24.3	27.5	26.4	112.6	390	35418	0.067	0.192	NA	NA	NA	NA	2.4	0	0	0	1.0807553453	1.4419826295	NA	-35.08	-62.84	8.393	7.987	90.5	NA	NA	3	1.5	17.4	3	19.29	27.27	27.79	NA	NA	NA	NA	NA	NA	NA	NA	EA10_S_Wi2015	NA	NA	1
EA10_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EA10	Estuarine	06 Artibai	BM	2016-01-26	Wi	2016	2.9704796053	4.683	4.736	0.5	0.433	36	8.2	0.74	16.96	82.31	82	41	29	51	193	369	43337	0.16	0.3	NA	NA	NA	NA	5.1	0	0	0	1.530436155	1.4394833234	NA	-7.3	-57.3	7.77	8.47	83.5	NA	NA	3.5	1.5	21.2	3	19.29	27.27	27.79	NA	NA	NA	NA	NA	NA	NA	NA	EA10_S_Wi2016	NA	NA	1
EA10_S_Wi2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EA10	Estuarine	06 Artibai	BM	2017-02-13	Wi	2017	3.2635284228	4.8	4.661	0.398	0.447	-94	5.66	0.77	39.7	59.53	51	30	25	42	164	411	39235	0.07	0.25	NA	NA	NA	NA	4.1	0	0	0	1.2617409176	1.3726120553	NA	24.2	-61.7	7.14	8.63	74.7	NA	NA	3.5	1	27.3	3	19.29	27.27	27.79	NA	NA	NA	NA	NA	NA	NA	NA	EA10_S_Wi2017	NA	NA	D
EA10_S_Wi2017RNA	S	S	RNA	DNA-RNA	1	HF	201904	519..806D	EA10	Estuarine	06 Artibai	BM	2017-02-13	Wi	2017	3.1279981225	4.8	4.661	0.398	0.447	-94	5.66	0.77	39.7	59.53	51	30	25	42	164	411	39235	0.07	0.25	NA	NA	NA	NA	4.1	0	0	0	1.2617409176	1.3726120553	NA	24.2	-61.7	7.14	8.63	74.7	NA	NA	3.5	1	27.3	3	19.29	27.27	27.79	NA	NA	NA	NA	NA	NA	NA	NA	EA10_S_Wi2017	NA	NA	R
EA10_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EA10	Estuarine	06 Artibai	BM	2018-01-17	Wi	2018	2.7272727273	5.029	4.8254	0.404	0.428	-174	6	0	45.38	54.62	52	29	28	36	130	247	35656	0.08	0.2	NA	NA	NA	NA	0	0	0	0	1.1944107484	1.2919774315	NA	-45.8	-67.4	6.74	8.48	91.4	NA	NA	2.5	2	8.8	3	19.29	27.27	27.79	NA	NA	NA	NA	NA	NA	NA	NA	EA10_S_Wi2018	NA	NA	1
EA10_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EA10	Estuarine	06 Artibai	BM	2019-01-21	Wi	2019	2.9209661836	NA	4.697	NA	0.479	11	11.01	0	38.42	61.58	45	31	25	45	133	506	25107	0.09	0.3	NA	NA	NA	NA	2.6	0	0	0	1.3267565955	1.2788199523	NA	-51.4	-49.95	7.294	8.399	99.5	NA	NA	3.5	2	34.3	4	19.29	27.27	27.79	NA	NA	NA	NA	NA	NA	NA	NA	EA10_S_Wi2019	NA	NA	1
EB05_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EB05	Estuarine	03 Butron	BM	2013-02-04	Wi	2013	2.5726239453	3.216	3.193	0.9	0.828	175	3.59	0	18.75	81.25	28	30.5	29.4	39.4	120.6	265.2	26432	0.166	0.283	0.126	0.062	NA	1.9	8.5	1115	0	0	1.3123575989	1.387422602	NA	90.9	50.6	3.67	4.56	91.5	NA	NA	3	0	11.1	2	10.98	11.1	20.63	NA	NA	NA	NA	NA	NA	NA	NA	EB05_S_Wi2013	NA	NA	D
EB05_S_Wi2013RNA	S	S	RNA	DNA-RNA	1	HF	201909	519..806D	EB05	Estuarine	03 Butron	BM	2013-02-04	Wi	2013	3.1458515284	3.216	3.193	0.9	0.828	175	3.59	0	18.75	81.25	28	30.5	29.4	39.4	120.6	265.2	26432	0.166	0.283	0.126	0.062	NA	1.9	8.5	1115	0	0	1.3123575989	1.387422602	NA	90.9	50.6	3.67	4.56	91.5	NA	NA	3	0	11.1	2	10.98	11.1	20.63	NA	NA	NA	NA	NA	NA	NA	NA	EB05_S_Wi2013	NA	NA	R
EB05_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	EB05	Estuarine	03 Butron	BM	2015-02-10	Wi	2015	2.8188186712	3.178	3.1702	0.9	0.85	70	4.2	0	23.34	76.66	23.9	18.6	24.4	25.6	111	233	31016	0.105	0.202	NA	NA	NA	NA	19.7	0	0	0	1.106367268	1.3989030964	NA	108.48	53.55	3.946	4.318	87.2	NA	NA	3	0	15.6	2	10.98	11.1	20.63	NA	NA	NA	NA	NA	NA	NA	NA	EB05_S_Wi2015	NA	NA	1
